"ids" "roc_1" "roc_2" "roc_3" "roc_4" "roc_5" "roc_6" "roc_7" "roc_8" "roc_9" "roc_10" "roc_11" "roc_12" "roc_13" "roc_14" "roc_15" "roc_16" "roc_17" "roc_18" "roc_19" "roc_20" "roc_21" "roc_22" "roc_23" "roc_24" "roc_25" "roc_26" "roc_27" "roc_28" "roc_29" "roc_30" "roc_40" "roc_50" "roc_60" "roc_70" "roc_80" "roc_90" "roc_100" "roc_110" "roc_120" "roc_130" "roc_140" "roc_150" "roc_160" "roc_170" "roc_180" "roc_190" "roc_200"
11 0.83827490261547 0.838414023372287 0.840528658875904 0.841012799109627 0.840178074568726 0.846199220923762 0.851741791875348 0.841936560934891 0.84164162493044 0.8459877573734 0.853912075681691 0.852659988870339 0.849098497495826 0.851218697829716 0.848820255982193 0.85195325542571 0.851786310517529 0.857200890372844 0.859454646633278 0.862493043962159 0.855420144685587 0.865409015025042 0.866666666666667 0.869910962715637 0.87135225375626 0.867451307735114 0.863828603227601 0.868959376739009 0.861218697829716 0.86636060100167 0.878708959376739 0.883951029493601 0.894668892598776 0.894195882025598 0.906994991652755 0.908458542014469 0.907061769616027 0.902047857540345 0.911864218141347 0.913984418475236 0.912637729549249 0.926410684474124 0.922070116861436 0.937612687813022 0.930434056761269 0.929649415692821 0.929510294936004
12 0.810028659694048 0.815425615066811 0.819285368667883 0.814917184650314 0.82007816280195 0.817683403431719 0.818344437413928 0.817072989168869 0.816601779134254 0.825206387017531 0.818571481743403 0.830204339896528 0.824373394871031 0.825417054378978 0.837556854133323 0.83781144154539 0.848114043250084 0.848589719730524 0.833492388431905 0.839078423344623 0.847970372576023 0.848699892060893 0.858163546357986 0.862243644619794 0.869745784791752 0.853258644433692 0.870726914058138 0.85455540253843 0.855662336695574 0.866596196076971 0.88799940447389 0.901256560092307 0.907406855994342 0.914465329214278 0.922205679830275 0.923627498418134 0.930817731789928 0.933407525961216 0.939811664867682 0.94044143372911 0.939575687646555 0.946122752819444 0.949992183719805 0.952409275319165 0.958086127963673 0.960787583280605 0.959538095060856
13 0.708516819571865 0.704947757390418 0.705801478083588 0.706945718654434 0.709720948012233 0.707731906218145 0.710830784913354 0.718189347604485 0.72019877675841 0.722621049949032 0.71158002038736 0.724162844036697 0.720840978593272 0.717776503567788 0.720085372069317 0.723604740061162 0.715686799184506 0.718628950050968 0.71710117227319 0.725578491335372 0.727277013251784 0.73170744138634 0.729292813455658 0.734687818552497 0.732849133537207 0.733758919469929 0.735048419979613 0.727757390417941 0.739509429153924 0.726857798165137 0.72756753312946 0.748213557594292 0.765863914373089 0.780866462793068 0.780689347604485 0.79671126401631 0.786920234454638 0.802868246687054 0.817297400611621 0.804243119266055 0.832652905198777 0.825053516819572 0.83756880733945 0.83408002038736 0.838519367991845 0.853360091743119 0.841926605504587
14 0.834550758459743 0.833547257876313 0.832485414235706 0.835437572928821 0.83607934655776 0.834784130688448 0.831312718786464 0.832969661610268 0.833389731621937 0.823366394399066 0.836674445740957 0.828827304550758 0.832042007001167 0.827001166861144 0.830501750291715 0.824521586931155 0.83475495915986 0.823809801633606 0.83232788798133 0.820361726954492 0.831995332555426 0.826400233372229 0.828617269544924 0.823028004667445 0.824737456242707 0.825554259043174 0.830950991831972 0.825875145857643 0.832462077012835 0.828605600933489 0.818074679113186 0.828978996499417 0.826610268378063 0.827275379229872 0.830921820303384 0.841831971995333 0.837409568261377 0.839661610268378 0.841750291715286 0.841901983663944 0.845175029171529 0.843938156359394 0.850939323220537 0.839585764294049 0.856738623103851 0.849381563593932 0.866896149358226
15 0.743942259830762 0.739123942259831 0.733558984569437 0.73325037332006 0.737252364360378 0.739084121453459 0.740029865604778 0.729049278247885 0.730373320059731 0.726809357889497 0.755788949726232 0.737620706819313 0.731438526630164 0.732165256346441 0.731796913887506 0.733668491786959 0.74337481333997 0.730572424091588 0.746948730711797 0.73827775012444 0.745505226480836 0.74523643603783 0.733718267794923 0.742877053260328 0.733091090094574 0.739303135888502 0.740627177700348 0.74899950223992 0.746102538576406 0.75616724738676 0.749118964659034 0.761114982578397 0.802857142857143 0.779004479840717 0.794136386261822 0.801991040318566 0.803504230960677 0.839293180686909 0.828800398208064 0.836704828272772 0.843464410154306 0.877809855649577 0.86927824788452 0.863544051767048 0.897770034843205 0.890154305624689 0.888909905425585
16 0.72929343726427 0.740550163439779 0.736842846366608 0.741903947699271 0.75461704802615 0.739158159416646 0.750497359818959 0.76616142821222 0.761212974603973 0.78327583605733 0.768424440533065 0.776430475232587 0.775698265023887 0.77661553935127 0.769033945184813 0.801329645461403 0.779447824993714 0.791621825496605 0.793048026150365 0.787779733467438 0.804825748051295 0.794862459140055 0.799076690973095 0.783911491073673 0.7993764143827 0.816426452099573 0.804477747045512 0.817983404576314 0.813851646970078 0.817257229067136 0.834081971335177 0.850297208951471 0.856706059844103 0.872297711843098 0.878986170480262 0.896271561478501 0.896887100829771 0.90325974352527 0.912959517224038 0.919639929595172 0.927131003268795 0.934066884586372 0.939576565250188 0.942127231581594 0.940602464168972 0.950837314558713 0.959149107367362
17 0.655844155844156 0.660649350649351 0.661978973407545 0.663147804576376 0.668002473716759 0.665534941249227 0.67465058750773 0.670680272108844 0.678317872603587 0.672597402597403 0.677891156462585 0.679919604205318 0.679820655534941 0.685139146567718 0.685887445887446 0.688082869511441 0.681917130488559 0.69612863327149 0.701354359925788 0.682894248608534 0.703147804576376 0.695361781076067 0.69752009894867 0.702207792207792 0.705269016697588 0.70843537414966 0.711632653061225 0.704038342609771 0.705899814471243 0.707915893630179 0.722263450834879 0.724112554112554 0.744730983302412 0.750680272108843 0.753636363636364 0.753240568954855 0.764904143475572 0.76730364873222 0.788324056895485 0.789152752009895 0.78704390847248 0.797872603586889 0.807940630797773 0.818082869511441 0.80991341991342 0.823345701917131 0.82948051948052
18 0.800875506072874 0.803613360323887 0.80746963562753 0.816143724696356 0.807191295546559 0.809428137651822 0.811781376518219 0.81120951417004 0.809984817813765 0.815678137651822 0.82376012145749 0.816437246963563 0.823345141700405 0.820141700404858 0.828132591093117 0.830743927125506 0.838127530364373 0.822702429149798 0.829008097165992 0.840015182186235 0.823674089068826 0.835668016194332 0.840035425101215 0.839058704453441 0.84705971659919 0.836518218623482 0.844746963562753 0.840602226720648 0.848056680161943 0.843694331983806 0.86335020242915 0.867034412955466 0.868891700404858 0.869585020242915 0.882064777327935 0.891174089068826 0.891791497975708 0.904392712550607 0.901988866396761 0.910900809716599 0.908962550607288 0.905339068825911 0.926831983805668 0.919817813765182 0.930222672064777 0.92089068825911 0.932408906882591
19 0.629880102384481 0.641934527818941 0.665057254479321 0.670882392563653 0.663726256230634 0.675311868516772 0.688718846827428 0.681842920652027 0.690949750774619 0.687350127980601 0.691030580627779 0.698639364138489 0.70247069917823 0.689338542368315 0.726999865283578 0.719709012528627 0.712137949616058 0.741139700929543 0.739458439983834 0.753603664286677 0.724477973865014 0.753986258924963 0.728907449818133 0.727867439040819 0.726261619291392 0.751933180654722 0.772323858278324 0.759450356998518 0.780956486595716 0.761832143338273 0.800754411962818 0.787536036642867 0.812970497103597 0.83511787686919 0.832062508419776 0.868576047420181 0.863316718307962 0.881805200053886 0.862600026943284 0.887517176343796 0.904766267007948 0.875635187929409 0.915425030311195 0.901964165431766 0.910677623602317 0.923890610265391 0.906787013336926
20 0.878450142450143 0.880892144892145 0.878632478632479 0.878772486772487 0.881103785103785 0.880670736670737 0.882562474562474 0.882907610907611 0.885639397639398 0.88017908017908 0.880498168498169 0.884183964183964 0.883324379324379 0.882546194546194 0.883132275132275 0.885209605209605 0.880931216931217 0.873706145706145 0.881201465201465 0.8803256003256 0.880218152218152 0.879954415954416 0.877561253561254 0.884278388278388 0.894567358567359 0.889501017501018 0.884382580382581 0.879208791208791 0.8875115995116 0.882647130647131 0.885505901505902 0.893564509564509 0.897667073667074 0.908822140822141 0.901255189255189 0.914549450549451 0.909655677655678 0.918010582010582 0.924177452177452 0.92144240944241 0.930748066748067 0.935182743182743 0.938455026455026 0.938214082214082 0.943026455026455 0.943977207977208 0.949763125763126
