"ids" "nef_1" "nef_2" "nef_3" "nef_4" "nef_5" "nef_6" "nef_7" "nef_8" "nef_9" "nef_10" "nef_11" "nef_12" "nef_13" "nef_14" "nef_15" "nef_16" "nef_17" "nef_18" "nef_19" "nef_20" "nef_21" "nef_22" "nef_23" "nef_24" "nef_25" "nef_26" "nef_27" "nef_28" "nef_29" "nef_30"
11 0.675984848484848 0.679687878787879 0.672281818181818 0.675984848484848 0.670430303030303 0.677836363636364 0.675984848484848 0.672281818181818 0.677836363636363 0.674133333333333 0.681539393939394 0.677836363636363 0.677836363636363 0.672281818181818 0.685242424242424 0.670430303030303 0.679687878787879 0.688945454545455 0.683390909090909 0.681539393939394 0.675984848484848 0.6945 0.69079696969697 0.69079696969697 0.696351515151515 0.688945454545455 0.687093939393939 0.6945 0.69079696969697 0.692648484848485
12 0.749277749023668 0.766898790758952 0.760857290735426 0.764884957417776 0.782505999153061 0.769919540770715 0.77445066578836 0.774450665788359 0.766898790758952 0.777471415800122 0.79156824918835 0.810196207594222 0.80465816590599 0.790561332517762 0.807678915917753 0.795595915870701 0.804154707570696 0.823789582647156 0.806168540911871 0.810196207594222 0.81523079094716 0.826810332658919 0.841914082717734 0.842417541053028 0.837382957700089 0.82177574930598 0.851983249423611 0.83486566602362 0.842417541053028 0.831844916011857
13 0.529321546052631 0.530709978070175 0.547371162280702 0.550842242324561 0.548759594298246 0.548759594298246 0.564032346491228 0.559867050438596 0.569586074561404 0.570974506578947 0.559867050438597 0.56819764254386 0.565420778508772 0.570280290570176 0.565420778508772 0.570974506578947 0.564032346491228 0.566114994517544 0.56819764254386 0.566114994517544 0.564032346491228 0.568891858552632 0.57930509868421 0.574445586622807 0.566809210526316 0.584164610745614 0.581387746710526 0.574445586622807 0.585553042763158 0.575139802631579
14 0.583600770218229 0.580824775353017 0.583600770218229 0.583600770218229 0.575272785622593 0.580824775353017 0.586376765083441 0.580824775353017 0.591928754813864 0.580824775353017 0.583600770218229 0.580824775353017 0.578048780487805 0.580824775353017 0.586376765083441 0.586376765083441 0.580824775353017 0.591928754813864 0.580824775353017 0.586376765083441 0.583600770218229 0.591928754813864 0.575272785622593 0.591928754813864 0.591928754813864 0.6002567394095 0.589152759948652 0.608584724005135 0.608584724005135 0.605808729139923
15 0.5365965583174 0.533422562141492 0.523900573613767 0.5365965583174 0.555640535372849 0.546118546845124 0.546118546845124 0.5365965583174 0.549292543021033 0.546118546845124 0.574684512428298 0.581032504780115 0.552466539196941 0.565162523900574 0.574684512428298 0.584206500956023 0.596902485659656 0.555640535372849 0.600076481835564 0.606424474187381 0.609598470363289 0.600076481835564 0.581032504780115 0.603250478011472 0.596902485659656 0.587380497131931 0.60642447418738 0.62546845124283 0.60642447418738 0.622294455066922
16 0.634068128023052 0.635692086034784 0.625948337964392 0.619452505917464 0.62432437995266 0.59996500977668 0.630278892662344 0.623241741278172 0.629196253987856 0.637316044046516 0.632985489348564 0.62703097663888 0.62703097663888 0.627572295976124 0.624865699289904 0.655720901512812 0.631361531336832 0.636774724709272 0.641105279407224 0.644894514767932 0.644894514767932 0.64056396006998 0.6432705567562 0.625407018627148 0.640022640732737 0.664923330245961 0.648142430791396 0.658968817536277 0.672501800967377 0.664382010908717
17 0.596632996632996 0.602683501683501 0.594616161616161 0.588565656565656 0.592599326599326 0.598649831649831 0.604700336700337 0.596632996632996 0.590582491582491 0.594616161616161 0.590582491582491 0.586548821548821 0.590582491582491 0.590582491582491 0.594616161616161 0.600666666666666 0.588565656565657 0.604700336700337 0.596632996632997 0.594616161616162 0.596632996632997 0.600666666666666 0.596632996632997 0.602683501683502 0.614784511784512 0.602683501683502 0.616801346801347 0.602683501683502 0.598649831649832 0.606717171717172
18 0.665017201045824 0.668435392871887 0.685526352002202 0.692362735654328 0.659889913306729 0.665017201045824 0.67185358469795 0.651344433741571 0.646217146002477 0.661599009219761 0.678689968350076 0.651344433741571 0.682108160176139 0.661599009219761 0.676980872437044 0.680399064263107 0.695780927480391 0.659889913306729 0.663308105132792 0.694071831567359 0.653053529654603 0.668435392871886 0.68381725608917 0.687235447915233 0.692362735654328 0.680399064263107 0.690653639741296 0.687235447915233 0.699199119306454 0.680399064263107
19 0.487569464755776 0.499526177244808 0.525147704007019 0.516607195086282 0.502942380813103 0.497818075460661 0.543936823632641 0.525147704007019 0.540520620064346 0.51148288973384 0.538812518280199 0.526855805791167 0.535396314711904 0.516607195086282 0.55760163790582 0.56443404504241 0.526855805791167 0.583223164668031 0.579806961099737 0.602012284293653 0.531980111143609 0.595179877157063 0.550769230769231 0.567850248610705 0.550769230769231 0.576390757531442 0.632758116408306 0.583223164668031 0.641298625329044 0.598596080725358
20 0.749481946624804 0.749481946624804 0.745253793825222 0.743139717425432 0.737854526425955 0.724113029827316 0.734683411826269 0.738911564625851 0.743139717425432 0.727284144427002 0.728341182626897 0.730455259026688 0.725170068027211 0.713542647828362 0.715656724228153 0.731512297226583 0.718827838827839 0.695572998430141 0.70720041862899 0.721998953427525 0.721998953427525 0.717770800627944 0.712485609628467 0.715656724228153 0.747367870225013 0.729398220826792 0.735740450026164 0.709314495028781 0.732569335426478 0.731512297226583
