"ids" "roc_1" "roc_2" "roc_3" "roc_4" "roc_5" "roc_6" "roc_7" "roc_8" "roc_9" "roc_10" "roc_11" "roc_12" "roc_13" "roc_14" "roc_15" "roc_16" "roc_17" "roc_18" "roc_19" "roc_20" "roc_21" "roc_22" "roc_23" "roc_24" "roc_25" "roc_26" "roc_27" "roc_28" "roc_29" "roc_30"
16 0.762735730450088 0.771385466431984 0.772139803872266 0.780186069901936 0.775609756097561 0.774805129494594 0.781493588131758 0.778828262509429 0.780236359064622 0.787377420165954 0.785868745285391 0.785667588634649 0.783756600452602 0.785315564495851 0.783756600452602 0.78466180538094 0.785416142821222 0.781292431481016 0.779381443298969 0.8341966306261 0.834498365602213 0.834900678903696 0.845763138043752 0.845863716369122 0.84842846366608 0.85018858436007 0.850389741010812 0.852803620819713 0.854010560724164 0.856424440533065
17 0.656617192331478 0.684601113172542 0.68382807668522 0.686920222634508 0.687538651824366 0.705009276437848 0.70439084724799 0.710111317254174 0.710265924551639 0.710265924551639 0.711193568336425 0.710884353741497 0.71134817563389 0.714749536178108 0.715986394557823 0.716295609152752 0.716450216450216 0.71691403834261 0.72387136672851 0.724335188620903 0.724335188620903 0.726345083487941 0.727118119975263 0.730210265924552 0.728045763760049 0.721861471861472 0.672077922077922 0.674242424242424 0.677334570191713 0.678880643166357
18 0.811740890688259 0.784033400809717 0.788967611336032 0.792004048582996 0.793522267206478 0.793269230769231 0.792636639676113 0.792383603238866 0.782388663967611 0.782388663967611 0.782135627530364 0.782515182186235 0.782388663967611 0.782262145748988 0.797570850202429 0.797570850202429 0.808830971659919 0.808957489878543 0.813638663967611 0.813765182186235 0.819331983805668 0.819711538461538 0.820091093117409 0.820091093117409 0.823380566801619 0.815283400809717 0.815156882591093 0.815662955465587 0.817813765182186 0.818193319838057
19 0.679779065068032 0.693250707261215 0.698100498450761 0.715883066145763 0.718981543850195 0.7185773945844 0.717903812474741 0.717769096052809 0.718173245318604 0.761282500336791 0.761417216758723 0.763168530243837 0.765997575104405 0.765997575104405 0.772329246935201 0.772329246935201 0.776505456015088 0.776370739593156 0.776774888858952 0.777179038124747 0.777583187390543 0.777987336656338 0.77812205307827 0.778256769500202 0.778391485922134 0.774349993264179 0.786743904081908 0.787417486191567 0.787417486191567 0.787282769769635
20 0.865689865689866 0.878876678876679 0.86959706959707 0.863492063492063 0.858038258038258 0.856654456654457 0.850712250712251 0.85046805046805 0.83980463980464 0.838665038665039 0.837362637362637 0.835490435490435 0.833618233618234 0.835164835164835 0.834432234432234 0.834188034188034 0.865527065527065 0.862759462759463 0.862922262922263 0.877818477818478 0.893528693528693 0.8999592999593 0.901180301180301 0.908831908831909 0.908587708587709 0.90964590964591 0.90972730972731 0.908587708587709 0.909320309320309 0.909320309320309
21 0.679906542056075 0.685358255451713 0.688473520249221 0.677570093457944 0.654984423676013 0.707943925233645 0.709501557632399 0.712616822429907 0.714953271028037 0.719626168224299 0.72196261682243 0.724299065420561 0.725856697819315 0.727414330218068 0.726635514018692 0.728193146417445 0.728971962616822 0.728971962616822 0.735202492211838 0.736760124610592 0.739096573208723 0.7398753894081 0.752336448598131 0.753115264797508 0.754672897196262 0.757009345794392 0.757788161993769 0.758566978193146 0.759345794392523 0.759345794392523
22 0.838909090909091 0.819563636363636 0.819309090909091 0.817381818181818 0.817345454545454 0.822472727272727 0.792690909090909 0.796254545454545 0.791854545454545 0.797490909090909 0.798545454545455 0.801163636363636 0.802254545454545 0.815527272727273 0.823345454545454 0.823563636363636 0.823963636363636 0.823854545454545 0.823236363636364 0.807272727272727 0.808909090909091 0.808654545454545 0.809490909090909 0.809345454545454 0.810581818181818 0.811272727272727 0.817527272727273 0.819272727272727 0.821309090909091 0.825418181818182
23 0.876712328767123 0.88013698630137 0.88013698630137 0.88013698630137 0.897602739726027 0.897945205479452 0.899315068493151 0.899315068493151 0.899657534246575 0.899315068493151 0.905479452054795 0.905479452054795 0.905479452054795 0.905479452054795 0.907876712328767 0.907876712328767 0.907876712328767 0.907876712328767 0.907876712328767 0.907876712328767 0.909246575342466 0.924315068493151 0.925342465753425 0.925342465753425 0.898972602739726 0.898972602739726 0.896232876712329 0.896232876712329 0.892808219178082 0.892808219178082
24 0.9185422182995 0.918064136510738 0.923047219770521 0.920178729037952 0.918523830538394 0.918229626360694 0.918229626360694 0.919645483965872 0.919645483965872 0.919682259488085 0.919663871726978 0.919700647249191 0.919682259488085 0.919682259488085 0.919682259488085 0.919682259488085 0.919682259488085 0.919645483965872 0.919645483965872 0.920914239482201 0.920914239482201 0.922146219476317 0.922164607237423 0.923414974992645 0.923470138275964 0.926743159752868 0.927975139746984 0.9292071197411 0.928453221535746 0.928232568402471
25 0.94557463672391 0.945310435931308 0.94557463672391 0.94557463672391 0.94557463672391 0.943196829590489 0.929722589167768 0.936327608982827 0.947424042272127 0.942668428005284 0.941875825627477 0.941347424042272 0.938969616908851 0.938969616908851 0.94002642007926 0.94002642007926 0.935006605019815 0.931571994715984 0.931571994715984 0.931836195508587 0.963804491413474 0.963804491413474 0.963804491413474 0.963011889035667 0.963011889035667 0.963011889035667 0.956935270805812 0.956935270805812 0.956935270805812 0.957199471598415
