"ids" "roc_1" "roc_2" "roc_3" "roc_4" "roc_5" "roc_6" "roc_7" "roc_8" "roc_9" "roc_10" "roc_11" "roc_12" "roc_13" "roc_14" "roc_15" "roc_16" "roc_17" "roc_18" "roc_19"
14 0.843786464410735 0.906213535589265 0.897462077012835 0.77975495915986 0.741540256709452 0.64294049008168 0.643086347724621 0.649504084014002 0.647316219369895 0.672403733955659 0.679842473745624 0.686406067677946 0.68757292882147 0.686989498249708 0.688448074679113 0.689177362893816 0.689031505250875 0.691656942823804 0.692677946324387
15 0.728222996515679 0.833748133399701 0.813339970134395 0.660029865604778 0.680686908909905 0.667496266799403 0.677949228471877 0.669487307117969 0.676207068193131 0.693130910900946 0.684420109507218 0.682677949228472 0.687406669985067 0.670482827277252 0.674464907914385 0.653807864609258 0.654803384768541 0.655550024888004 0.657043305126929
16 0.871058586874529 0.877042997234096 0.87523258737742 0.842745788282625 0.811315061604224 0.817752074427961 0.823535328136787 0.901885843600704 0.902439024390244 0.904299723409605 0.906763892381192 0.905758109127483 0.885340709077194 0.884536082474227 0.885038974101081 0.885541865727936 0.878501382951974 0.877797334674378 0.825848629620317
17 0.625541125541126 0.687384044526902 0.666666666666667 0.744588744588745 0.756802721088435 0.759121830550402 0.755875077303649 0.758194186765615 0.763450834879406 0.771799628942486 0.77612863327149 0.777210884353742 0.772572665429808 0.773964131106988 0.777983920841064 0.779684601113173 0.718150896722325 0.716604823747681 0.730364873222016
18 0.786563765182186 0.795167004048583 0.81212044534413 0.848810728744939 0.846027327935223 0.856148785425101 0.861209514170041 0.866143724696356 0.867914979757085 0.875885627530364 0.871584008097166 0.871204453441296 0.872722672064777 0.871077935222672 0.874493927125506 0.836664979757085 0.83793016194332 0.839701417004049 0.84412955465587
19 0.547352822309039 0.505590731510171 0.496295298396875 0.842247069917823 0.748349723831335 0.768691903543042 0.765054560150882 0.673312676815304 0.683685841304055 0.648524855179846 0.662670079482689 0.67156136333019 0.679374915802236 0.697831065606897 0.69877408056042 0.704566886703489 0.70241142395258 0.711841573487808 0.714535901926445
20 0.873260073260073 0.88034188034188 0.882376882376882 0.89002849002849 0.894831094831095 0.88962148962149 0.886609686609687 0.89002849002849 0.863899063899064 0.857224257224257 0.857631257631258 0.863410663410663 0.864713064713065 0.872039072039072 0.873992673992674 0.832560032560033 0.841107041107041 0.843223443223443 0.842735042735043
21 0.720404984423676 0.711059190031153 0.714953271028037 0.733644859813084 0.737538940809969 0.750778816199377 0.742990654205608 0.745327102803738 0.795171339563863 0.823208722741433 0.861370716510903 0.868380062305296 0.873831775700935 0.883956386292835 0.892523364485981 0.892523364485981 0.894080996884735 0.89797507788162 0.900311526479751
22 0.830836363636364 0.826727272727273 0.8268 0.821418181818182 0.822909090909091 0.822472727272727 0.818872727272727 0.815127272727273 0.812145454545455 0.812145454545455 0.814763636363636 0.811345454545454 0.812581818181818 0.807418181818182 0.809818181818182 0.806109090909091 0.8064 0.808072727272727 0.814654545454545
23 0.815068493150685 0.812328767123288 0.822945205479452 0.952397260273973 0.962328767123288 0.963013698630137 0.963698630136986 0.974657534246575 0.979452054794521 0.980479452054795 0.980821917808219 0.981164383561644 0.980479452054795 0.980479452054795 0.980821917808219 0.984931506849315 0.985616438356164 0.985616438356164 0.985616438356164
24 0.941251103265666 0.933987937628714 0.933859223300971 0.943954104148279 0.941986613709915 0.943733451015004 0.93803324507208 0.938492939099735 0.937775816416593 0.939449102677258 0.935955428067079 0.93521991762283 0.935863489261547 0.935808325978229 0.935937040305972 0.936856428361283 0.937040305972345 0.93735289791115 0.937978081788761
25 0.963540290620872 0.984147952443857 0.983091149273448 0.987054161162483 0.986261558784676 0.985733157199472 0.985733157199472 0.982298546895641 0.982562747688243 0.986261558784676 0.983883751651255 0.981505944517834 0.982826948480845 0.983883751651255 0.983883751651255 0.984940554821664 0.984940554821664 0.98335535006605 0.982826948480845
26 0.952018413597734 0.951664305949009 0.951876770538244 0.880347025495751 0.843803116147309 0.8453611898017 0.830417847025496 0.95407223796034 0.911650141643059 0.91193342776204 0.912570821529745 0.910941926345609 0.907259206798867 0.907259206798867 0.915686968838527 0.915757790368272 0.919157223796034 0.92106940509915 0.913279036827195
27 0.882403140467657 0.908346134152586 0.927974057006315 0.938214712408261 0.944700460829493 0.956989247311828 0.955282471411504 0.946748591909882 0.949820788530466 0.950674176480628 0.957671957671958 0.960402799112477 0.924731182795699 0.92763270182625 0.930704898446834 0.935654548557774 0.934971838197645 0.935825226147807 0.938556067588326
28 0.887848035389019 0.887848035389019 0.886546968514182 0.909185532136352 0.907103825136612 0.907624251886547 0.911527452511059 0.915170439760604 0.915690866510539 0.912828519385896 0.912828519385896 0.915690866510539 0.918032786885246 0.918293000260213 0.918813427010148 0.919073640385116 0.919854280510018 0.92271662763466 0.925318761384335
29 0.881707607917959 0.880515144288099 0.872644884331028 0.866682566181731 0.881469115191987 0.87169091342714 0.969472931075602 0.974719771046983 0.976389220128786 0.980443596470308 0.979728118292392 0.979251132840448 0.979251132840448 0.981874552826139 0.981636060100167 0.978058669210589 0.978535654662533 0.977343191032674 0.977343191032674
30 0.92521877486078 0.900556881463803 0.889419252187749 0.894192521877486 0.904534606205251 0.914876690533015 0.933174224343675 0.914876690533015 0.927605409705648 0.927605409705648 0.966587112171838 0.970564836913286 0.970564836913286 0.967382657120127 0.967382657120127 0.967382657120127 0.968178202068417 0.980111376292761 0.983293556085919
31 0.753676470588235 0.734477124183006 0.65890522875817 0.80187908496732 0.825163398692811 0.804738562091503 0.821486928104575 0.792075163398693 0.828839869281046 0.843137254901961 0.844771241830065 0.818627450980392 0.844362745098039 0.847630718954248 0.864787581699346 0.875 0.881127450980392 0.883169934640523 0.881127450980392
32 0.824381510416667 0.845865885416667 0.855305989583333 0.893880208333333 0.9462890625 0.938313802083333 0.9345703125 0.9345703125 0.887532552083333 0.883626302083333 0.883463541666667 0.878743489583333 0.88232421875 0.8857421875 0.885904947916667 0.95751953125 0.957682291666667 0.95556640625 0.953450520833333
33 0.649585585585586 0.661621621621622 0.650522522522523 0.681873873873874 0.685477477477477 0.639423423423423 0.641441441441441 0.674594594594595 0.675603603603604 0.665657657657658 0.668612612612613 0.659675675675676 0.661261261261261 0.651387387387387 0.649153153153153 0.656 0.655927927927928 0.657153153153153 0.678702702702703
34 0.696611505122143 0.728920409771474 0.740740740740741 0.78408195429472 0.798266351457841 0.781323877068558 0.789598108747045 0.799448384554768 0.797478329393223 0.807722616233254 0.818360914105595 0.807722616233254 0.813238770685579 0.826635145784082 0.832151300236407 0.834121355397951 0.843577620173365 0.850669818754925 0.85263987391647
35 0.77759009009009 0.760698198198198 0.767154654654655 0.76768018018018 0.829429429429429 0.829617117117117 0.722672672672673 0.744857357357357 0.723611111111111 0.773348348348348 0.781944444444444 0.784384384384384 0.784084084084084 0.777927927927928 0.776501501501502 0.776463963963964 0.775938438438438 0.775600600600601 0.773423423423423
36 0.74491392801252 0.845070422535211 0.816901408450704 0.71830985915493 0.687010954616588 0.649452269170579 0.65414710485133 0.622848200312989 0.599374021909233 0.568075117370892 0.557120500782473 0.705790297339593 0.690140845070423 0.669796557120501 0.640062597809077 0.625978090766823 0.624413145539906 0.622848200312989 0.610328638497653
