"ids" "nef_1" "nef_2" "nef_3" "nef_4" "nef_5" "nef_6" "nef_7" "nef_8" "nef_9" "nef_10" "nef_11" "nef_12" "nef_13" "nef_14" "nef_15" "nef_16" "nef_17" "nef_18" "nef_19" "nef_20" "nef_21" "nef_22" "nef_23" "nef_24" "nef_25" "nef_26" "nef_27" "nef_28" "nef_29" "nef_30" "nef_40" "nef_50" "nef_60" "nef_70" "nef_80" "nef_90" "nef_100" "nef_110" "nef_120" "nef_130" "nef_140" "nef_150" "nef_160" "nef_170" "nef_180" "nef_190" "nef_200"
11 0.675984848484849 0.675984848484849 0.675984848484849 0.675984848484849 0.675984848484849 0.675984848484849 0.675984848484849 0.675984848484849 0.62969696969697 0.675984848484849 0.675984848484849 0.675984848484849 0.675984848484849 0.675984848484849 0.675984848484849 0.675984848484849 0.722272727272727 0.768560606060606 0.768560606060606 0.768560606060606 0.768560606060606 0.768560606060606 0.768560606060606 0.768560606060606 0.768560606060606 0.768560606060606 0.768560606060606 0.768560606060606 0.768560606060606 0.768560606060606 0.768560606060606 0.768560606060606 0.861136363636364 0.861136363636364 0.907424242424242 0.907424242424242 0.907424242424242 0.907424242424242 0.953712121212121 0.907424242424242 0.907424242424242 0.907424242424242 0.907424242424242 0.953712121212121 0.953712121212121 0.953712121212121 0.953712121212121
12 0.836376041029502 0.773443749117772 0.786030207500118 0.823789582647156 0.848962499411848 0.848962499411848 0.848962499411848 0.848962499411848 0.848962499411848 0.848962499411848 0.848962499411848 0.87413541617654 0.861548957794194 0.823789582647156 0.81120312426481 0.836376041029502 0.823789582647156 0.823789582647156 0.87413541617654 0.848962499411848 0.848962499411848 0.848962499411848 0.861548957794194 0.87413541617654 0.87413541617654 0.886721874558886 0.886721874558886 0.899308332941232 0.899308332941232 0.886721874558886 0.899308332941232 0.924481249705924 0.949654166470616 0.974827083235308 1 1 1 1 1 1 1 1 1 1 1 1 1
13 0.514048793859649 0.531404194078947 0.531404194078947 0.531404194078947 0.531404194078947 0.531404194078947 0.531404194078947 0.531404194078947 0.548759594298246 0.548759594298246 0.548759594298246 0.548759594298246 0.548759594298246 0.548759594298246 0.548759594298246 0.548759594298246 0.548759594298246 0.548759594298246 0.566114994517544 0.566114994517544 0.566114994517544 0.566114994517544 0.566114994517544 0.566114994517544 0.566114994517544 0.583470394736842 0.531404194078947 0.531404194078947 0.531404194078947 0.531404194078947 0.566114994517544 0.566114994517544 0.583470394736842 0.687602796052632 0.70495819627193 0.739668996710526 0.757024396929824 0.757024396929824 0.757024396929824 0.774379797149123 0.791735197368421 0.809090597587719 0.826445997807018 0.843801398026316 0.843801398026316 0.843801398026316 0.861156798245614
14 0.583600770218229 0.583600770218229 0.583600770218229 0.514200898587933 0.583600770218229 0.583600770218229 0.583600770218229 0.583600770218229 0.583600770218229 0.583600770218229 0.583600770218229 0.583600770218229 0.583600770218229 0.583600770218229 0.583600770218229 0.583600770218229 0.583600770218229 0.583600770218229 0.583600770218229 0.653000641848524 0.653000641848524 0.653000641848524 0.653000641848524 0.653000641848524 0.653000641848524 0.653000641848524 0.653000641848524 0.653000641848524 0.653000641848524 0.653000641848524 0.722400513478819 0.722400513478819 0.722400513478819 0.861200256739409 0.861200256739409 0.791800385109114 0.791800385109114 0.791800385109114 0.791800385109114 0.791800385109114 0.791800385109114 0.861200256739409 0.861200256739409 0.930600128369705 0.930600128369705 0.930600128369705 0.930600128369705
15 0.523900573613767 0.523900573613767 0.523900573613767 0.523900573613767 0.523900573613767 0.523900573613767 0.523900573613767 0.523900573613767 0.603250478011472 0.603250478011472 0.603250478011472 0.603250478011472 0.603250478011472 0.603250478011472 0.603250478011472 0.603250478011472 0.603250478011472 0.603250478011472 0.603250478011472 0.603250478011472 0.603250478011472 0.603250478011472 0.603250478011472 0.603250478011472 0.603250478011472 0.603250478011472 0.603250478011472 0.603250478011472 0.603250478011472 0.603250478011472 0.761950286806883 0.761950286806883 0.761950286806883 0.682600382409178 0.682600382409178 0.682600382409178 0.761950286806883 0.761950286806883 0.761950286806883 0.761950286806883 0.841300191204589 0.841300191204589 0.841300191204589 0.920650095602294 0.920650095602294 0.920650095602294 0.920650095602294
16 0.607543480498096 0.607543480498096 0.607543480498096 0.607543480498096 0.607543480498096 0.607543480498096 0.607543480498096 0.607543480498096 0.607543480498096 0.634609447360296 0.634609447360296 0.634609447360296 0.634609447360296 0.634609447360296 0.634609447360296 0.621076463929196 0.621076463929196 0.621076463929196 0.621076463929196 0.661675414222497 0.661675414222497 0.661675414222497 0.661675414222497 0.661675414222497 0.661675414222497 0.661675414222497 0.661675414222497 0.675208397653597 0.675208397653597 0.675208397653597 0.688741381084697 0.702274364515797 0.729340331377997 0.742873314809097 0.742873314809097 0.756406298240198 0.756406298240198 0.797005248533498 0.824071215395698 0.851137182257898 0.864670165688999 0.878203149120099 0.878203149120099 0.891736132551199 0.891736132551199 0.891736132551199 0.918802099413399
17 0.596632996632997 0.546212121212121 0.546212121212121 0.546212121212121 0.546212121212121 0.647053872053872 0.647053872053872 0.647053872053872 0.647053872053872 0.647053872053872 0.647053872053872 0.647053872053872 0.647053872053872 0.647053872053872 0.647053872053872 0.647053872053872 0.647053872053872 0.647053872053872 0.647053872053872 0.647053872053872 0.647053872053872 0.697474747474747 0.697474747474747 0.697474747474747 0.647053872053872 0.697474747474747 0.647053872053872 0.647053872053872 0.647053872053872 0.647053872053872 0.647053872053872 0.647053872053872 0.697474747474747 0.697474747474747 0.697474747474747 0.697474747474747 0.647053872053872 0.647053872053872 0.647053872053872 0.647053872053872 0.647053872053872 0.647053872053872 0.647053872053872 0.647053872053872 0.647053872053872 0.647053872053872 0.647053872053872
18 0.700908215219485 0.572726021742122 0.572726021742122 0.572726021742122 0.572726021742122 0.572726021742122 0.572726021742122 0.572726021742122 0.572726021742122 0.572726021742122 0.572726021742122 0.572726021742122 0.572726021742122 0.572726021742122 0.61545341956791 0.61545341956791 0.658180817393698 0.658180817393698 0.658180817393698 0.658180817393698 0.658180817393698 0.658180817393698 0.658180817393698 0.658180817393698 0.658180817393698 0.658180817393698 0.658180817393698 0.658180817393698 0.658180817393698 0.658180817393698 0.658180817393698 0.658180817393698 0.700908215219485 0.829090408696849 0.829090408696849 0.829090408696849 0.829090408696849 0.871817806522637 0.871817806522637 0.914545204348424 0.914545204348424 0.914545204348424 0.914545204348424 0.914545204348424 0.914545204348424 0.914545204348424 0.914545204348424
19 0.487569464755777 0.487569464755777 0.487569464755777 0.487569464755777 0.487569464755777 0.444866920152091 0.444866920152091 0.444866920152091 0.444866920152091 0.444866920152091 0.444866920152091 0.444866920152091 0.444866920152091 0.444866920152091 0.487569464755777 0.487569464755777 0.487569464755777 0.487569464755777 0.487569464755777 0.487569464755777 0.487569464755777 0.487569464755777 0.487569464755777 0.487569464755777 0.487569464755777 0.487569464755777 0.487569464755777 0.487569464755777 0.487569464755777 0.487569464755777 0.487569464755777 0.487569464755777 0.487569464755777 0.530272009359462 0.530272009359462 0.530272009359462 0.530272009359462 0.530272009359462 0.530272009359462 0.530272009359462 0.530272009359462 0.615677098566832 0.615677098566832 0.829189821585259 0.871892366188944 0.871892366188944 0.743784732377888
20 0.709314495028781 0.682888540031397 0.682888540031397 0.682888540031397 0.682888540031397 0.682888540031397 0.682888540031397 0.682888540031397 0.682888540031397 0.682888540031397 0.682888540031397 0.682888540031397 0.682888540031397 0.682888540031397 0.682888540031397 0.682888540031397 0.656462585034014 0.656462585034014 0.656462585034014 0.682888540031397 0.709314495028781 0.762166405023548 0.762166405023548 0.762166405023548 0.762166405023548 0.788592360020931 0.788592360020931 0.788592360020931 0.788592360020931 0.788592360020931 0.762166405023548 0.815018315018315 0.841444270015699 0.841444270015699 0.867870225013082 0.841444270015699 0.867870225013082 0.894296180010466 0.894296180010466 0.894296180010466 0.894296180010466 0.894296180010466 0.894296180010466 0.894296180010466 0.947148090005233 0.947148090005233 0.947148090005233
