"ids" "nef_1" "nef_2" "nef_3" "nef_4" "nef_5" "nef_6" "nef_7" "nef_8" "nef_9" "nef_10" "nef_11"
27 0.682706766917293 0.682706766917293 0.841353383458647 0.76203007518797 0.920676691729323 1 1 1 1 1 1
28 0.752834467120181 0.752834467120181 0.691043083900227 0.814625850340136 0.752834467120181 0.752834467120181 0.814625850340136 0.814625850340136 0.814625850340136 0.876417233560091 0.876417233560091
29 0.682306684141546 0.76173001310616 0.841153342070773 0.682306684141546 0.682306684141546 0.682306684141546 1 1 1 1 1
30 0.814912280701754 0.814912280701754 0.814912280701754 0.814912280701754 0.814912280701754 0.814912280701754 0.814912280701754 0.814912280701754 0.814912280701754 0.814912280701754 1
31 0.444369063772049 0.444369063772049 0.444369063772049 0.444369063772049 0.444369063772049 0.629579375848033 0.814789687924016 0.629579375848033 0.814789687924016 0.814789687924016 0.814789687924016
32 0.676200564971751 0.676200564971751 0.722457627118644 0.722457627118644 0.907485875706215 0.861228813559322 0.861228813559322 0.861228813559322 0.676200564971751 0.676200564971751 0.676200564971751
33 0.6 0.6 0.622222222222222 0.688888888888889 0.644444444444444 0.666666666666667 0.666666666666667 0.666666666666667 0.666666666666667 0.666666666666667 0.666666666666667
34 0.722150259067358 0.722150259067358 0.722150259067358 0.814766839378238 0.814766839378238 0.814766839378238 0.814766839378238 0.814766839378238 0.814766839378238 0.814766839378238 0.814766839378238
35 0.592493946731235 0.611016949152542 0.611016949152542 0.592493946731235 0.70363196125908 0.722154963680387 0.536924939467312 0.55544794188862 0.518401937046005 0.62953995157385 0.666585956416465
36 0.444444444444444 0.444444444444444 0.444444444444444 0.444444444444444 0.444444444444444 0.444444444444444 0.444444444444444 0.444444444444444 0.444444444444444 0.444444444444444 0.444444444444444
37 0.888903924221922 0.888903924221922 0.777807848443843 0.888903924221922 0.777807848443843 0.888903924221922 0.888903924221922 1 1 0.777807848443843 0.888903924221922
38 0.722451790633609 0.722451790633609 0.722451790633609 0.722451790633609 0.722451790633609 0.722451790633609 0.722451790633609 0.722451790633609 0.722451790633609 0.722451790633609 0.722451790633609
39 0.583256029684601 0.583256029684601 0.722170686456401 0.8610853432282 0.8610853432282 0.8610853432282 0.8610853432282 0.8610853432282 0.8610853432282 0.8610853432282 0.8610853432282
40 0.777697841726619 0.777697841726619 0.833273381294964 0.888848920863309 0.888848920863309 0.888848920863309 0.888848920863309 0.888848920863309 0.888848920863309 0.888848920863309 0.888848920863309
41 0.652571343638526 0.72205707491082 0.72205707491082 0.72205707491082 0.72205707491082 0.652571343638526 0.652571343638526 0.652571343638526 0.652571343638526 0.72205707491082 0.72205707491082
42 0.814887152777778 0.803998161764706 0.803998161764706 0.836665134803922 0.82577614379085 0.836665134803922 0.836665134803922 0.847554125816994 0.847554125816994 0.847554125816994 0.847554125816994
43 0.580785455021092 0.591265818645564 0.842794545632909 0.622706909518982 0.591265818645564 0.863755272881855 0.863755272881855 0.863755272881855 0.863755272881855 0.863755272881855 0.863755272881855
44 0.814814814814815 0.814814814814815 0.814814814814815 0.814814814814815 0.814814814814815 0.814814814814815 0.814814814814815 0.814814814814815 0.814814814814815 0.814814814814815 0.814814814814815
45 0.519395042711105 0.519395042711105 0.519395042711105 0.519395042711105 0.519395042711105 0.519395042711105 0.504376137795827 0.519395042711105 0.519395042711105 0.519395042711105 0.519395042711105
46 0.729551451187335 0.729551451187335 0.716358839050132 0.742744063324538 0.742744063324538 0.742744063324538 0.742744063324538 0.742744063324538 0.742744063324538 0.74934036939314 0.74934036939314
47 1 1 1 1 1 1 1 1 1 1 1
48 0.523933693425219 0.523933693425219 0.523933693425219 0.603278077854349 0.603278077854349 0.603278077854349 0.603278077854349 0.603278077854349 0.682622462283479 0.603278077854349 0.603278077854349
49 0.814912280701754 0.814912280701754 0.629824561403509 0.814912280701754 0.814912280701754 1 1 1 1 1 1
50 0.444012441679627 0.444012441679627 0.444012441679627 0.444012441679627 0.444012441679627 0.444012441679627 0.444012441679627 0.444012441679627 0.444012441679627 0.444012441679627 0.58300933125972
51 0.843399597945052 0.851641724368997 0.843399597945052 0.826915345097163 0.835157471521108 0.843399597945052 0.843399597945052 0.843399597945052 0.835157471521108 0.843399597945052 0.843399597945052
52 0.670973298880276 0.753229974160207 0.77379414298019 0.670973298880276 0.527024117140396 0.753229974160207 0.753229974160207 0.732665805340224 0.753229974160207 0.670973298880276 0.712101636520241
53 0.722330097087379 0.697087378640777 0.722330097087379 0.798058252427184 0.798058252427184 0.798058252427184 0.798058252427184 0.798058252427184 0.798058252427184 0.798058252427184 0.798058252427184
54 0.970011995201919 0.98500599760096 0.98500599760096 0.98500599760096 0.98500599760096 0.98500599760096 0.98500599760096 0.98500599760096 0.98500599760096 0.98500599760096 0.98500599760096
55 0.444550669216061 0.444550669216061 0.444550669216061 0.444550669216061 0.444550669216061 0.444550669216061 0.444550669216061 0.444550669216061 0.444550669216061 0.444550669216061 0.444550669216061
56 0.722162740899358 0.722162740899358 0.722162740899358 0.722162740899358 0.722162740899358 0.722162740899358 0.722162740899358 0.722162740899358 0.722162740899358 0.722162740899358 0.722162740899358
57 0.75961068293478 0.809346403706894 0.809346403706894 0.817635690502247 0.817635690502247 0.817635690502247 0.817635690502247 0.817635690502247 0.817635690502247 0.825924977297599 0.825924977297599
