Molecule Name,SMILES,rdkit_smiles,PUBCHEM_CID,"alquist--24 hours 10 uM screen, 1A and 2B: 1A (OD)","alquist--24 hours 10 uM screen, 1A and 2B: 2B (OD)","alquist--24 hours 1 uM screen, 1A and 2B: 1A (OD)","alquist--24 hours 1 uM screen, 1A and 2B: 2B (OD)",alquist--KBA01: 1A % negative control (%),alquist--KBA01: 2B % negative control (%),hoskins--AFUMSF3B1: OD600 % negative control (%),hull--10h Germination-FDA 4 plates: NanoLuc % negative control (%),hull--10h Germination-FDA 4 plates: OD600 % negative control (%),hull--12h Yeast 9-30-16: OD600 % negative control (%),hull--22h Germination 10-6-16: OD600 % inhibition (%),hull--22h Germination 10-6-16: OD600 % negative control (%),hull--22h Germination 9-30-16: OD600 % inhibition (%),hull--22h Germination 9-30-16: OD600 % negative control (%),hull--OD600 measurement: OD600,hull--Selleck-FDA: Nano Glo (LUC),hull--Selleck-FDA for yeast construct: Nano Glo (LUC),hull--Copy of Selleck-FDA-1 for 06-2015 NanoLuc+OD: Nano Glo (LUC),hull--Copy of Selleck-FDA-1 for 06-2015 NanoLuc+OD: OD600,keck--AlphaScreen KpnDnaG: Intensity (Counts),keck--AlphaScreen KpnPriA: Intensity (Counts),keck--FDA primary screen: OD600 % negative control (%),keck--FP KpnDnaG: FP (mP),keck--FP KpnPriA: FP (mP),keck--KpnPriA Alphascreen - AV: Intensity % negative control (%),senes--Alpha screen raw: Alpha (Rlu),xing--MTDH-SND1 for FDA: RATIO
SMSSF-0065932,CN(C)CCC1=CNC2=CC=C(CN3C=NC=N3)C=C12,CN(C)CCc1c[nH]c2ccc(Cn3cncn3)cc12,5078,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SMSSF-0065939,OC(=O)[C@@H]1CSCN1C(=O)[C@@H]1CCC(=O)N1,O=C1CC[C@@H](C(=O)N2CSC[C@H]2C(=O)O)N1,65944,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
SMSSF-0065940,CN1C=CC(=O)C(O)=C1C,Cc1c(O)c(=O)ccn1C,2972,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
SMSSF-0065944,NC1=NN=C(C(N)=N1)C1=CC=CC(Cl)=C1Cl,Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1,3878,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
SMSSF-0065951,CN(C)CCN(CC1=CC=CC=C1)C1=CC=CC=N1,CN(C)CCN(Cc1ccccc1)c1ccccn1,5587,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
SMSSF-0065952,CC(O)CN1C(C)=NC=C1[N+]([O-])=O,Cc1ncc([N+](=O)[O-])n1CC(C)O,71815,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
SMSSF-0065954,NC1=NC(=NC(N)=N1)C1=CC(Cl)=CC=C1Cl,Nc1nc(N)nc(-c2cc(Cl)ccc2Cl)n1,3752,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
SMSSF-0065955,OCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,OCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,441314,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
SMSSF-0065956,NC1=NC(O)=C2N=CN(CCC(CO)CO)C2=N1,Nc1nc(O)c2ncn(CCC(CO)CO)c2n1,135398748,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
SMSSF-0065957,CC[C@H](N1CCCC1=O)C(N)=O,CC[C@@H](C(N)=O)N1CCCC1=O,5284583,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SMSSF-0065965,CCOC(=O)C1=C2CN(C)C(=O)C3=CC(F)=CC=C3N2C=N1,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,3373,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SMSSF-0065968,NC1=NC(=O)N(C=C1)[C@@H]1CS[C@H](CO)O1,Nc1ccn([C@@H]2CS[C@H](CO)O2)c(=O)n1,60825,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SMSSF-0065970,CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N1[C@H]2CCC[C@H]2C[C@H]1C(O)=O,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@@H]2CCC[C@@H]21,5362129,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
SMSSF-0065971,CN1CCCC(CC1)N1N=C(CC2=CC=C(Cl)C=C2)C2=CC=CC=C2C1=O,CN1CCCC(n2nc(Cc3ccc(Cl)cc3)c3ccccc3c2=O)CC1,2267,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
SMSSF-0065974,CC(C)N(CC[C@H](C1=CC=CC=C1)C1=CC(C)=CC=C1O)C(C)C,Cc1ccc(O)c([C@H](CCN(C(C)C)C(C)C)c2ccccc2)c1,443879,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
SMSSF-0065978,CSC1=NC2=CC(Cl)=C(OC3=CC=CC(Cl)=C3Cl)C=C2N1,CSc1nc2cc(Cl)c(Oc3cccc(Cl)c3Cl)cc2[nH]1,50248,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
SMSSF-0065980,CC(C)[C@H](N)C(=O)OCCOCN1C=NC2=C(O)N=C(N)N=C12,CC(C)[C@H](N)C(=O)OCCOCn1cnc2c(O)nc(N)nc21,135398742,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
SMSSF-0065984,C1=CN(C=N1)C(C1=CC=CC=C1)C1=CC=C(C=C1)C1=CC=CC=C1,c1ccc(-c2ccc(C(c3ccccc3)n3ccnc3)cc2)cc1,2378,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
SMSSF-0065985,COC1=CC=C(\C=C\C(=O)NC2=CC=CC=C2C(O)=O)C=C1OC,COc1ccc(/C=C/C(=O)Nc2ccccc2C(=O)O)cc1OC,5282230,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SMSSF-0065986,C[C@H](CCCC(C)(C)O)[C@H]1CC[C@H]2\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C,C=C1/C(=C\C=C2/CCC[C@@]3(C)[C@H]2CC[C@@H]3[C@H](C)CCCC(C)(C)O)C[C@@H](O)C[C@@H]1O,5280453,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SMSSF-0065987,CC(=O)NC[C@H]1CN(C(=O)O1)C1=CC=C(N2CCOCC2)C(F)=C1,CC(=O)NC[C@H]1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1,441401,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SMSSF-0065990,COC1=CC(=CC=C1CC1=CN(C)C2=CC=C(NC(=O)OC3CCCC3)C=C12)C(=O)NS(=O)(=O)C1=CC=CC=C1C,COc1cc(C(=O)NS(=O)(=O)c2ccccc2C)ccc1Cc1cn(C)c2ccc(NC(=O)OC3CCCC3)cc12,5717,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SMSSF-0065992,CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@H]1CCC2=CC=CC=C2N(CC(O)=O)C1=O,CCOC(=O)[C@H](CCc1ccccc1)N[C@H]1CCc2ccccc2N(CC(=O)O)C1=O,5362124,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SMSSF-0065993,CCOC(=O)O[C@@]1(CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@]12C)C(=O)OCCl,CCOC(=O)O[C@]1(C(=O)OCCl)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,444025,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SMSSF-0065994,CC(C)(O)C1=CC=CC=C1CC[C@@H](SCC1(CC([O-])=O)CC1)C1=CC=CC(\C=C\C2=CC=C3C=CC(Cl)=CC3=N2)=C1,CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)[O-])CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1,24771777,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
SMSSF-0065998,C[C@H]1COC2=C(N3CCN(C)CC3)C(F)=CC3=C2N1C=C(C(O)=O)C3=O,C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,149096,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
SMSSF-0065999,CCOC(=O)N1CCC(CC1)=C1C2=CC=C(Cl)C=C2CCC2=CC=CN=C12,CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,3957,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SMSSF-0066000,CCCCCCNC(=O)N1C=C(F)C(=O)NC1=O,CCCCCCNC(=O)n1cc(F)c(=O)[nH]c1=O,2577,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SMSSF-0066002,CNCC[C@@H](OC1=CC=CC=C1C)C1=CC=CC=C1,CNCC[C@@H](Oc1ccccc1C)c1ccccc1,54841,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
SMSSF-0066004,CS(=O)(=O)C1=CC=C(C=C1)C1=C(C(=O)OC1)C1=CC=CC=C1,CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1,5090,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
