"Assay" "nef_1" "nef_2" "nef_3" "nef_4" "nef_5" "nef_6" "nef_7" "nef_8" "nef_9" "nef_10" "nef_11" "nef_12" "nef_13" "nef_14" "nef_15"
41 1 1 1 1 1 1 1 0.901896284829721 0.934597523219814 0.901896284829721 0.869195046439629 0.869195046439629 0.869195046439629 0.869195046439629 0.869195046439629
42 NA NA 0.852820040701618 0.852820040701618 0.852820040701618 0.803760054268825 0.836466711890687 0.836466711890687 0.836466711890687 0.836466711890687 0.836466711890687 0.836466711890687 0.852820040701618 0.86917336951255 0.885526698323481
43 NA NA 0.721993410214168 0.721993410214168 0.721993410214168 0.675658978583196 0.629324546952224 0.629324546952224 0.629324546952224 0.629324546952224 0.629324546952224 0.629324546952224 0.629324546952224 0.53665568369028 0.53665568369028
44 NA 0.753249130514369 0.737827201171517 0.737827201171517 0.753249130514369 0.691561413142962 0.614451766428702 0.614451766428702 0.614451766428702 0.753249130514369 0.753249130514369 0.753249130514369 0.737827201171517 0.691561413142962 0.706983342485814
45 NA 0.644620462046205 0.644620462046205 0.644620462046205 0.644620462046205 0.644620462046205 0.577986798679868 0.577986798679868 0.577986798679868 0.60019801980198 0.60019801980198 0.60019801980198 0.555775577557756 0.577986798679868 0.555775577557756
46 NA 0.50138075031993 0.512713005994477 0.512713005994477 0.512713005994477 0.512713005994477 0.512713005994477 0.512713005994477 0.512713005994477 0.512713005994477 0.512713005994477 0.512713005994477 0.512713005994477 0.512713005994477 0.512713005994477
47 NA 0.89319771137953 0.89319771137953 0.89319771137953 0.89319771137953 0.89319771137953 0.89319771137953 0.89319771137953 0.89319771137953 0.89319771137953 0.89319771137953 0.89319771137953 0.89319771137953 0.89319771137953 0.89319771137953
48 0.963975088585848 0.963975088585848 0.963975088585848 0.963975088585848 0.963975088585848 0.963975088585848 0.963975088585848 0.963975088585848 0.963975088585848 0.963975088585848 0.963975088585848 0.963975088585848 0.963975088585848 0.963975088585848 0.963975088585848
49 NA NA 0.477124183006536 0.477124183006536 0.477124183006536 0.477124183006536 0.477124183006536 0.477124183006536 0.477124183006536 0.493464052287582 0.493464052287582 0.493464052287582 0.493464052287582 0.493464052287582 0.493464052287582
50 NA NA 1 1 1 0.722176079734219 0.583264119601329 0.583264119601329 0.583264119601329 0.583264119601329 0.583264119601329 0.583264119601329 0.583264119601329 0.583264119601329 0.583264119601329
51 0.86529410284161 0.86529410284161 0.86529410284161 0.86529410284161 0.86529410284161 0.873713221414009 0.873713221414009 0.873713221414009 0.873713221414009 0.873713221414009 0.873713221414009 0.873713221414009 0.882132339986408 0.882132339986408 0.882132339986408
52 0.931443911000981 0.940013422125858 0.940013422125858 0.940013422125858 0.940013422125858 0.940013422125858 0.940013422125858 0.940013422125858 0.948582933250736 0.948582933250736 0.948582933250736 0.948582933250736 0.948582933250736 0.948582933250736 0.948582933250736
53 NA 0.66672268907563 0.66672268907563 0.66672268907563 0.66672268907563 0.66672268907563 0.66672268907563 0.66672268907563 0.66672268907563 0.66672268907563 0.66672268907563 0.66672268907563 0.66672268907563 0.66672268907563 0.66672268907563
54 NA NA 0.58459595959596 0.58459595959596 0.58459595959596 0.643939393939394 0.694805194805195 0.694805194805195 0.694805194805195 0.694805194805195 0.694805194805195 0.694805194805195 0.703282828282828 0.711760461760462 0.728715728715729
55 NA 0.871751559251559 0.871751559251559 0.871751559251559 0.871751559251559 0.886001386001386 0.900251212751213 0.900251212751213 0.900251212751213 0.914501039501039 0.914501039501039 0.914501039501039 0.900251212751213 0.900251212751213 0.900251212751213
56 NA 0.669933631733292 0.661470391521325 0.661470391521325 0.669933631733292 0.737639553429027 0.70378659258116 0.70378659258116 0.70378659258116 0.712249832793126 0.712249832793126 0.712249832793126 0.712249832793126 0.695323352369193 0.661470391521325
57 NA 0.861040609137056 0.861040609137056 0.861040609137056 0.861040609137056 0.861040609137056 0.861040609137056 0.861040609137056 0.861040609137056 0.861040609137056 0.861040609137056 0.861040609137056 0.722081218274112 0.722081218274112 0.722081218274112
58 NA NA 0.638705583756345 0.638705583756345 0.638705583756345 0.638705583756345 0.610913705583756 0.610913705583756 0.610913705583756 0.610913705583756 0.610913705583756 0.610913705583756 0.610913705583756 0.610913705583756 0.610913705583756
59 NA 0.444162436548223 0.444162436548223 0.444162436548223 0.444162436548223 0.444162436548223 0.444162436548223 0.444162436548223 0.444162436548223 0.444162436548223 0.444162436548223 0.444162436548223 0.444162436548223 0.444162436548223 0.444162436548223
60 NA 0.659267359212685 0.623400765445599 0.623400765445599 0.659267359212685 0.659267359212685 0.623400765445599 0.623400765445599 0.623400765445599 0.623400765445599 0.623400765445599 0.623400765445599 0.641334062329142 0.677200656096227 0.677200656096227
61 0.920581113801453 0.931926668972674 0.931926668972674 0.931926668972674 0.931926668972674 0.931926668972674 0.931926668972674 0.931926668972674 0.931926668972674 0.931926668972674 0.931926668972674 0.931926668972674 0.931926668972674 0.931926668972674 0.931926668972674
62 NA 0.574802756416658 0.574802756416658 0.574802756416658 0.574802756416658 0.542095276141017 0.6075102366923 0.6075102366923 0.6075102366923 0.640217716967942 0.640217716967942 0.6075102366923 0.6075102366923 0.6075102366923 0.6075102366923
63 0.906052782558807 0.906052782558807 0.906052782558807 0.906052782558807 0.906052782558807 0.906052782558807 0.906052782558807 0.906052782558807 0.906052782558807 0.906052782558807 0.906052782558807 0.906052782558807 0.906052782558807 0.906052782558807 0.906052782558807
64 0.850222282096188 0.850222282096188 0.850222282096188 0.850222282096188 0.850222282096188 0.850222282096188 0.859032736090529 0.894274552067897 0.859032736090529 0.859032736090529 0.867843190084871 0.867843190084871 0.867843190084871 0.867843190084871 0.867843190084871
65 NA 0.725931800158604 0.734496431403648 0.734496431403648 0.734496431403648 0.751625693893735 0.751625693893735 0.751625693893735 0.751625693893735 0.734496431403648 0.734496431403648 0.734496431403648 0.734496431403648 0.708802537668517 0.717367168913561
66 NA NA 0.7221269296741 0.7221269296741 0.7221269296741 0.583190394511149 0.583190394511149 0.583190394511149 0.583190394511149 0.583190394511149 0.583190394511149 0.583190394511149 0.583190394511149 0.583190394511149 0.583190394511149
67 NA 0.65823795581581 0.65823795581581 0.65823795581581 0.65823795581581 0.65823795581581 0.65823795581581 0.65823795581581 0.65823795581581 0.572797444769763 0.572797444769763 0.572797444769763 0.65823795581581 0.615517700292787 0.786398722384882
68 NA NA 0.851877527440786 0.851877527440786 0.851877527440786 0.851877527440786 0.703755054881571 0.703755054881571 0.703755054881571 0.703755054881571 0.703755054881571 0.703755054881571 0.703755054881571 0.814846909300982 0.814846909300982
69 NA 0.895778966597077 0.895778966597077 0.895778966597077 0.895778966597077 0.927045276617954 0.927045276617954 0.927045276617954 0.927045276617954 0.916623173277662 0.916623173277662 0.916623173277662 0.927045276617954 0.927045276617954 0.927045276617954
70 NA 0.731823979591837 0.722576530612245 0.722576530612245 0.722576530612245 0.722576530612245 0.731823979591837 0.731823979591837 0.731823979591837 0.741071428571429 0.741071428571429 0.741071428571429 0.731823979591837 0.75031887755102 0.768813775510204
71 NA 1 1 1 1 1 1 1 1 1 1 1 1 1 1
72 NA NA 0.898919262555626 0.898919262555626 0.898919262555626 0.898919262555626 0.898919262555626 0.898919262555626 0.898919262555626 0.898919262555626 0.898919262555626 0.898919262555626 0.898919262555626 0.898919262555626 0.848378893833439
73 0.951647782651072 0.970988669590643 0.970988669590643 0.970988669590643 0.961318226120858 0.970988669590643 0.970988669590643 0.970988669590643 0.961318226120858 0.961318226120858 0.961318226120858 0.970988669590643 0.970988669590643 0.970988669590643 0.970988669590643
