"Assay" "nef_3" "nef_4" "nef_5" "nef_6" "nef_7" "nef_8" "nef_9" "nef_10" "nef_11" "nef_12" "nef_13" "nef_14" "nef_15"
28 0.920609277636741 0.886584682338202 0.886584682338202 0.886584682338202 0.886584682338202 0.886584682338202 0.886584682338202 0.886584682338202 0.886584682338202 0.886584682338202 0.886584682338202 0.886584682338202 0.886584682338202
29 NA 0.82919835431991 0.82919835431991 0.82919835431991 0.82919835431991 0.82919835431991 0.82919835431991 0.82919835431991 0.82919835431991 0.82919835431991 0.82919835431991 0.82919835431991 0.82919835431991
30 0.84994734994735 0.84994734994735 0.84994734994735 0.84994734994735 0.84994734994735 0.81993681993682 0.84994734994735 0.84994734994735 0.84994734994735 0.84994734994735 0.84994734994735 0.84994734994735 0.864952614952615
31 0.80812732069572 0.80812732069572 0.833154191909322 0.84983877271839 0.84983877271839 0.883207934336525 0.883207934336525 0.883207934336525 0.883207934336525 0.883207934336525 0.883207934336525 0.883207934336525 0.883207934336525
32 NA 0.505211726384365 0.505211726384365 0.505211726384365 0.505211726384365 0.505211726384365 0.495114006514658 0.495114006514658 0.505211726384365 0.505211726384365 0.505211726384365 0.505211726384365 0.505211726384365
33 0.629750271444083 0.629750271444083 0.629750271444083 0.629750271444083 0.629750271444083 0.629750271444083 0.629750271444083 0.629750271444083 0.629750271444083 0.629750271444083 0.629750271444083 0.629750271444083 0.629750271444083
34 0.550411043896386 0.550411043896386 0.550411043896386 0.550411043896386 0.550411043896386 0.550411043896386 0.550411043896386 0.550411043896386 0.550411043896386 0.550411043896386 0.52396463471382 0.550411043896386 0.550411043896386
35 0.788897430810436 0.856450252951096 0.848006150183514 0.848006150183514 0.848006150183514 0.848006150183514 0.848006150183514 0.848006150183514 0.856450252951096 0.856450252951096 0.856450252951096 0.856450252951096 0.864894355718679
36 0.798319327731092 0.798319327731092 0.815126050420168 0.840336134453782 0.840336134453782 0.840336134453782 0.840336134453782 0.840336134453782 0.840336134453782 0.840336134453782 0.848739495798319 0.848739495798319 0.831932773109244
37 0.629569012547736 0.629569012547736 0.629569012547736 0.629569012547736 0.629569012547736 0.629569012547736 0.629569012547736 0.629569012547736 0.629569012547736 0.629569012547736 0.629569012547736 0.629569012547736 0.629569012547736
38 0.756864754098361 0.756864754098361 0.756864754098361 0.756864754098361 0.756864754098361 0.756864754098361 0.756864754098361 0.756864754098361 0.756864754098361 0.756864754098361 0.756864754098361 0.756864754098361 0.756864754098361
39 0.787316803854648 0.85537542662116 0.85537542662116 0.897912065850231 0.897912065850231 0.889404738004417 0.897912065850231 0.897912065850231 0.897912065850231 0.897912065850231 0.889404738004417 0.889404738004417 0.889404738004417
40 0.781313090527336 0.781313090527336 0.781313090527336 0.772201135965975 0.772201135965975 0.763089181404614 0.772201135965975 0.772201135965975 0.772201135965975 0.772201135965975 0.772201135965975 0.781313090527336 0.781313090527336
41 0.869195046439629 0.869195046439629 0.869195046439629 0.869195046439629 0.869195046439629 0.869195046439629 0.869195046439629 0.869195046439629 0.869195046439629 0.869195046439629 0.901896284829721 0.901896284829721 0.934597523219814
42 NA 0.820113383079756 0.820113383079756 0.803760054268825 0.803760054268825 0.803760054268825 0.803760054268825 0.803760054268825 0.803760054268825 0.803760054268825 0.803760054268825 0.803760054268825 0.803760054268825
43 0.629324546952224 0.629324546952224 0.629324546952224 0.629324546952224 0.629324546952224 0.629324546952224 0.629324546952224 0.629324546952224 0.629324546952224 0.629324546952224 0.629324546952224 0.629324546952224 0.629324546952224
44 0.799514918542925 0.799514918542925 0.799514918542925 0.722405271828666 0.722405271828666 0.706983342485814 0.706983342485814 0.706983342485814 0.706983342485814 0.706983342485814 0.722405271828666 0.722405271828666 0.722405271828666
45 0.577986798679868 0.577986798679868 0.577986798679868 0.60019801980198 0.60019801980198 0.60019801980198 0.60019801980198 0.60019801980198 0.577986798679868 0.577986798679868 0.577986798679868 0.577986798679868 0.577986798679868
46 NA NA NA 0.546709773018118 0.546709773018118 0.546709773018118 0.524045261669024 0.524045261669024 0.524045261669024 0.535377517343571 0.535377517343571 0.546709773018118 0.546709773018118
47 0.786395422759059 0.786395422759059 0.786395422759059 0.807755880483153 0.807755880483153 0.829116338207247 0.829116338207247 0.829116338207247 0.807755880483153 0.807755880483153 0.829116338207247 0.807755880483153 0.807755880483153
