"Assay" "rocauc_2" "rocauc_3" "rocauc_4" "rocauc_5" "rocauc_6" "rocauc_7" "rocauc_8" "rocauc_9" "rocauc_10" "rocauc_11" "rocauc_12" "rocauc_13" "rocauc_14" "rocauc_15"
37 0.868549336022861 0.802487813077828 0.802487813077828 0.802487813077828 0.802487813077828 0.80828710707682 0.816355690031938 0.742309631870903 0.742309631870903 0.742309631870903 0.742309631870903 0.744831064044377 0.749369641956631 0.749369641956631
38 0.891238670694864 0.890672205438066 0.887745468277946 0.887745468277946 0.895959214501511 0.898319486404834 0.891049848942598 0.882647280966767 0.882647280966767 0.880381419939577 0.880381419939577 0.8827416918429 0.886234894259819 0.886234894259819
39 0.944483602908443 0.922596082504823 0.92749295147648 0.929310728594747 0.930126873423357 0.930386555868823 0.930497848345452 0.929422021071376 0.929422021071376 0.928995399910966 0.928995399910966 0.930850274521442 0.930850274521442 0.93021961715388
40 0.960586544602938 0.946242282307856 0.946242282307856 0.946242282307856 0.945843091334895 0.946082605918672 0.945949542261018 0.947226953374494 0.947226953374494 0.943900361933149 0.943900361933149 0.944060038322333 0.937060889929742 0.941106025122419
41 0.94394358653932 0.960903329465322 0.919842899223422 0.919842899223422 0.919842899223422 0.922699276979381 0.917343568686959 0.919575113808801 0.919575113808801 0.920824779077033 0.920824779077033 0.922610015174507 0.924038204052486 0.937695260198161
42 0.941176470588235 NA 0.908002202441039 0.908002202441039 0.905524456272369 0.906029182343764 0.901853721207672 0.901348995136276 0.901348995136276 0.901348995136276 0.901348995136276 0.901394879324585 0.905249151142516 0.905249151142516
43 NA 0.803293112116642 0.803293112116642 0.803293112116642 0.810080442433384 0.812217194570136 0.78456510809452 0.786073403720463 0.786073403720463 0.78921568627451 0.78921568627451 0.790723981900452 0.7938662644545 0.7938662644545
44 0.883359456635319 0.887495646116336 0.887495646116336 0.887495646116336 0.879179728317659 0.877786485545106 0.878962034134448 0.87652385928248 0.87652385928248 0.87843956809474 0.87843956809474 0.883707767328457 0.876219087425984 0.876219087425984
45 NA 0.736604938271605 0.738456790123457 0.738456790123457 0.743765432098765 0.745493827160494 0.74962962962963 0.736049382716049 0.736049382716049 0.727222222222222 0.727222222222222 0.726851851851852 0.73283950617284 0.73283950617284
46 NA NA NA NA 0.636806645735217 0.647534013605442 0.65708398744113 0.621173469387755 0.621173469387755 0.621173469387755 0.625327053898482 0.630625327053899 0.635956305599163 0.635956305599163
47 0.925279828530603 0.929268873541319 0.929268873541319 0.929268873541319 0.933138842581567 0.933257918552036 0.934924982138604 0.936234817813765 0.936234817813765 0.929685639437961 0.929685639437961 0.930221481305073 0.930638247201715 0.930638247201715
48 0.924460431654676 0.920378479824836 0.920378479824836 0.910932123866125 0.907569596496716 0.908148263997498 0.915029715358148 0.916155771035346 0.916155771035346 0.913997497654051 0.913997497654051 0.914920237722865 0.918798873944323 0.92557084766969
49 NA 0.63979837217906 0.63979837217906 0.63979837217906 0.648122456529782 0.656539030706622 0.664678135405105 0.668978912319645 0.668978912319645 0.67263226045135 0.67263226045135 0.675453200147984 0.680540140584536 0.680540140584536
50 0.896240601503759 0.945864661654135 0.948872180451128 0.948872180451128 0.951503759398496 0.95187969924812 0.952631578947368 0.953007518796992 0.953007518796992 0.931578947368421 0.931578947368421 0.931578947368421 0.933458646616541 0.933458646616541
51 0.890587556581166 0.87938226679684 0.87938226679684 0.873746338865714 0.869153279488773 0.869996449809177 0.869219845566699 0.87061773320316 0.87061773320316 0.870950563592793 0.870950563592793 0.873679772787787 0.876675246294488 0.876675246294488
52 0.948582933250736 0.939799553087458 0.912431690966614 0.910418372087878 0.910418372087878 0.910617491537423 0.907365207194849 0.908382928825859 0.908382928825859 0.906568729396668 0.906568729396668 0.907475829111264 0.91019712825505 0.908449301975707
53 0.577743902439024 NA NA NA 0.59359756097561 0.599085365853659 0.603963414634146 0.607012195121951 0.607012195121951 0.610365853658537 0.610670731707317 0.614634146341463 0.61859756097561 0.61859756097561
54 NA 0.763168124392614 0.766909620991254 0.766909620991254 0.766909620991254 0.768561710398445 0.75932944606414 0.757118561710398 0.757118561710398 0.755855199222546 0.755855199222546 0.757045675413022 0.757725947521866 0.757725947521866
55 0.959529431258026 0.952446046145561 0.952446046145561 0.952446046145561 0.940681827596206 0.941758833519738 0.940847520815211 0.941054637338967 0.941054637338967 0.941054637338967 0.941054637338967 0.947185286442152 0.942835839443271 0.942835839443271
56 0.795772741812455 0.795920375975001 0.802932998695898 0.802932998695898 0.809994832804311 0.809699564479221 0.809871804335523 0.813119755911518 0.813119755911518 0.816761398587633 0.816761398587633 0.822297679683079 0.823552570064713 0.823552570064713
57 NA 0.938744257274119 0.941424196018377 0.941424196018377 0.940275650842266 0.94104134762634 0.941424196018377 0.942572741194487 0.942572741194487 0.943721286370597 0.943721286370597 0.943721286370597 0.943721286370597 0.943721286370597
