"Assay" "rev_nef_1" "rev_nef_2" "rev_nef_3" "rev_nef_4" "rev_nef_5" "rev_nef_6" "rev_nef_7" "rev_nef_8" "rev_nef_9" "rev_nef_10" "rev_nef_11" "rev_nef_12" "rev_nef_13" "rev_nef_14" "rev_nef_15"
11 NA NA 0.752309064901476 0.752309064901476 0.752378048268741 0.822604036627654 0.75225478896605 0.75225478896605 0.75225478896605 0.75331874492427 0.754826060702781 0.796312391433653 0.796312391433653 0.797509796427231 0.797779465650226
12 0.836851545827905 0.836990776929186 0.837118835198445 0.837118835198445 0.837118835198445 0.861086367342407 0.860958845119071 0.861108814422956 0.861108814422956 0.861108814422956 0.860747249617794 0.861604445579888 0.862475104676368 0.862623674672346 0.838727624611348
13 0.86565749850911 0.86565749850911 0.865607848867417 0.865607848867417 0.865607848867417 0.865634901287093 0.820724336036429 0.866300945100747 0.866292044229552 0.843849455813429 0.809393288781957 0.786561025364971 0.786561025364971 0.775173807194917 0.763630015717156
14 0.846329937083305 0.846329937083305 0.846329937083305 0.846329937083305 0.846329937083305 0.846274715582184 0.817121811017943 0.847117737429042 0.847387725758297 0.816650558930413 0.801769737390963 0.847072212347534 0.84799417931781 0.833249370976679 0.78781848851152
15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
16 NA NA 0.717731718222149 0.717731718222149 0.700721682075645 0.735861039909229 0.890349593080477 0.890349593080477 0.890349593080477 0.942045146014675 0.942045146014675 0.942045146014675 0.942045146014675 0.960997504120626 0.926737840272231
17 0.604472851178778 0.664095399613142 0.664327363326482 0.706175126100177 0.641503026090329 0.640077499652547 0.640077499652547 0.640219871092427 0.648701850465311 0.649014581850744 0.649014581850744 0.678917561808924 0.713705723831754 0.714833899557548 0.747597438120056
18 0.902368262077035 0.769034548848217 0.768838060472782 0.768838060472782 0.768838060472782 0.769339101991078 0.770207321425126 0.770207321425126 0.770207321425126 0.770207321425126 0.771183107717221 0.771183107717221 0.771183107717221 0.771183107717221 0.771183107717221
19 0.903272212397445 0.903272212397445 0.903272212397445 0.903272212397445 0.903272212397445 0.903272779078853 0.903272779078853 0.869111234803421 0.869111234803421 0.891873035096687 0.891971349782378 0.869517300973867 0.837171074836338 0.837171074836338 0.837659384746855
20 NA 0.139814209475176 0.138302953895062 0.138302953895062 0.136939061334838 0.152331574801104 0.155264687710412 0.155264687710412 0.155264687710412 0.160154065464872 0.169940445151153 0.169940445151153 0.191628611284828 0.198008727129511 0.198008727129511
21 NA 0.577180141184172 0.57727019254896 0.57727019254896 0.577394212050767 0.602518326618525 0.617370357506587 0.617370357506587 0.617370357506587 0.60632492304813 0.60632492304813 0.60632492304813 0.606604741354175 0.606667551546059 0.557932265476895
22 NA 0.570081491783582 0.465670608455058 0.465670608455058 0.465931396009337 0.573498028759051 0.576718318971065 0.576718318971065 0.576718318971065 0.68301144228597 0.68301144228597 0.68301144228597 0.691993293979697 0.693003081849495 0.695330270067392
23 NA 0.460905620147641 0.461133725333458 0.461133725333458 0.461168815213872 0.461293639225112 0.476086364748405 0.476086364748405 0.476086364748405 0.476122672064294 0.476122672064294 0.476122672064294 0.463106712118294 0.463193627154201 0.463609855264549
24 NA 0.610183860352594 0.626772365486946 0.626772365486946 0.626812625689686 0.792021672156296 0.861063779509451 0.861063779509451 0.861063779509451 0.861354575981636 0.861354575981636 0.861354575981636 0.881546516334111 0.881546516334111 0.86088119589656
25 NA 0.463896153018915 0.464982408692996 0.464982408692996 0.465047314063564 0.467684781869145 0.469949876864635 0.469949876864635 0.469949876864635 0.470487845794881 0.470487845794881 0.470487845794881 0.479511198849237 0.480525652524258 0.48286359370054
26 NA NA 0.791842679541578 0.791842679541578 0.800090312455277 0.800544755149005 0.792221412940856 0.792221412940856 0.792221412940856 0.792221412940856 0.792221412940856 0.792221412940856 0.800646634252142 0.800646634252142 0.792347986674173
27 NA 0.731714322950365 0.733154847327115 0.733154847327115 0.733235158128178 0.604961228892887 0.607537843805622 0.607537843805622 0.607537843805622 0.476409190427154 0.476409190427154 0.476409190427154 0.619089703108265 0.488428587971908 0.492273901670285
