"Assay" "rocauc_1" "rocauc_2" "rocauc_3" "rocauc_4" "rocauc_5" "rocauc_6" "rocauc_7" "rocauc_8" "rocauc_9" "rocauc_10" "rocauc_11" "rocauc_12" "rocauc_13" "rocauc_14" "rocauc_15"
11 NA NA 0.894164364640884 0.894164364640884 0.895545580110497 0.903314917127072 0.882424033149171 0.882424033149171 0.882424033149171 0.879488950276243 0.865245165745856 0.858425414364641 0.858425414364641 0.855749309392265 0.856180939226519
12 0.907178217821782 0.898396982555398 0.911185761433286 0.911185761433286 0.912423385195662 0.915546911834041 0.91041961338991 0.912246581801037 0.912246581801037 0.910360678925035 0.909064120697784 0.921086751532296 0.917786421499293 0.914780763790665 0.917904290429043
13 0.9349828426946 0.9349828426946 0.936006260911444 0.936006260911444 0.936788874841972 0.926464391066161 0.860544217687075 0.914514478357715 0.909006080308229 0.882126301848173 0.8276744326049 0.779543675877431 0.779543675877431 0.736229004876287 0.711817470350972
14 0.903502415458937 0.903502415458937 0.90450885668277 0.90450885668277 0.905072463768116 0.905555555555556 0.867471819645733 0.902898550724638 0.901811594202898 0.886191626409018 0.836553945249597 0.908212560386473 0.906884057971014 0.880756843800322 0.783011272141707
15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
16 NA NA 0.90017825311943 0.90017825311943 0.901827094474153 0.924153297682709 0.974509803921569 0.974509803921569 0.974509803921569 0.976292335115865 0.976292335115865 0.976292335115865 0.976292335115865 0.963992869875223 0.969652406417112
17 0.769028648923546 0.803271740973046 0.797084251568062 0.808526868960841 0.78479403288693 0.779877945414477 0.779877945414477 0.786404475334803 0.789794880488218 0.800644176979149 0.800644176979149 0.854975419562638 0.868282759789795 0.871079844041363 0.872436006102729
18 0.975419664268585 0.933693045563549 0.934532374100719 0.934532374100719 0.934532374100719 0.871342925659472 0.793525179856115 0.793525179856115 0.793525179856115 0.791606714628297 0.785491606714628 0.785491606714628 0.785491606714628 0.782494004796163 0.779496402877698
19 0.978351145038168 0.978351145038168 0.978320610687023 0.978320610687023 0.978381679389313 0.978167938931298 0.978167938931298 0.978931297709924 0.978351145038168 0.978625954198473 0.977923664122137 0.973404580152672 0.930290076335878 0.930290076335878 0.802381679389313
20 NA 0.554285714285714 0.598571428571429 0.598571428571429 0.637142857142857 0.568571428571429 0.557142857142857 0.557142857142857 0.557142857142857 0.757142857142857 0.814285714285714 0.814285714285714 0.781428571428571 0.832857142857143 0.832857142857143
21 NA 0.662454991816694 0.659378068739771 0.659378068739771 0.658330605564648 0.823076923076923 0.70847790507365 0.70847790507365 0.70847790507365 0.666743044189853 0.666743044189853 0.666743044189853 0.638036006546645 0.621963993453355 0.586415711947627
22 NA 0.786899563318777 0.777583697234352 0.777583697234352 0.780786026200873 0.781659388646288 0.799708879184862 0.799708879184862 0.799708879184862 0.807860262008734 0.807860262008734 0.807860262008734 0.813391557496361 0.822416302765648 0.82037845705968
23 NA 0.551026034897003 0.539131119776281 0.539131119776281 0.521603844184489 0.539446216865572 0.57670644767419 0.57670644767419 0.57670644767419 0.577100319035803 0.577100319035803 0.577100319035803 0.576194414904092 0.584977746268069 0.583165938004648
24 NA 0.740008980691513 0.739739559946116 0.739739559946116 0.750426582846879 0.879434216434665 0.890570273911091 0.890570273911091 0.890570273911091 0.891109115401886 0.891109115401886 0.891109115401886 0.89380332285586 0.895644364616075 0.895734171531208
25 NA 0.77046783625731 0.756140350877193 0.756140350877193 0.744444444444444 0.751169590643275 0.749707602339181 0.749707602339181 0.749707602339181 0.757602339181286 0.757602339181286 0.757602339181286 0.771052631578947 0.764035087719298 0.769298245614035
26 NA NA 0.943876101165104 0.943876101165104 0.940489722459032 0.946883584351615 0.944823339964005 0.944823339964005 0.944823339964005 0.944823339964005 0.944823339964005 0.944823339964005 0.952140759685517 0.952140759685517 0.948304442549967
27 NA 0.847587719298246 0.85124269005848 0.85124269005848 0.861476608187134 0.855263157894737 0.837719298245614 0.837719298245614 0.837719298245614 0.835891812865497 0.835891812865497 0.835891812865497 0.886695906432749 0.83406432748538 0.821271929824561
28 0.975376065919325 0.975376065919325 0.97572738015394 0.97572738015394 0.976206445019322 0.987959503050046 0.987959503050046 0.967072274919357 0.989652198907732 0.989492510619271 0.988662131519274 0.988087253680815 0.988566318546198 0.988566318546198 0.990482578007729
29 NA NA 0.880608974358974 0.880608974358974 0.881639194139194 0.825549450549451 0.79029304029304 0.79029304029304 0.79029304029304 0.84581043956044 0.84581043956044 0.84581043956044 0.84581043956044 0.826465201465202 0.797847985347985
30 0.980951585279251 0.98504532353064 0.984920005012741 0.984920005012741 0.984920005012741 0.984920005012741 0.984920005012741 0.984920005012741 0.984961777852041 0.98529596056644 0.985671916120139 0.985504824762939 0.986173190191737 0.986173190191737 0.986173190191737
31 0.969340880193593 0.969340880193593 0.96964849678028 0.96964849678028 0.970058652229195 0.980968787170338 0.978692424428859 0.978610393339076 0.97873343997375 0.978979533243099 0.979533243099135 0.979758828596038 0.979779336368484 0.979779336368484 0.979799844140929
32 NA 0.550094243874148 0.538089024213426 0.538089024213426 0.524285921415108 0.546672466289691 0.579672321299116 0.579672321299116 0.579672321299116 0.580310279831811 0.580310279831811 0.580310279831811 0.575554588951718 0.573698709583877 0.573698709583877
33 NA 0.773175542406312 0.782790927021696 0.782790927021696 0.792159763313609 0.721400394477318 0.710059171597633 0.710059171597633 0.710059171597633 0.715729783037475 0.715729783037475 0.715729783037475 0.680719921104536 0.63387573964497 0.631163708086785
