"Assay" "nef_3" "nef_4" "nef_5" "nef_6" "nef_7" "nef_8" "nef_9" "nef_10" "nef_11" "nef_12" "nef_13" "nef_14" "nef_15"
24 0.626934847694618 0.626934847694618 0.626934847694618 0.659340322243871 0.659340322243871 0.824278648871434 0.824278648871434 0.840759408614058 0.840759408614058 0.840759408614058 0.840759408614058 0.840759408614058 0.840759408614058
25 0.46608276687507 0.46608276687507 0.46896363274841 0.468825657042022 0.468825657042022 0.573797463433898 0.466117683049243 0.468240968707985 0.468240968707985 0.468240968707985 0.468240968707985 0.469818061745536 0.469818061745536
26 0.678143190176363 0.678143190176363 0.702318210818324 0.702318210818324 0.702318210818324 0.710599311194243 0.710599311194243 0.735639405883293 0.735639405883293 0.735639405883293 0.735639405883293 0.735510871598057 0.735510871598057
27 0.602170625035813 0.602170625035813 0.607564265886562 0.605533073601996 0.605533073601996 0.604795907932327 0.734754182945173 0.605191805652789 0.605191805652789 0.605191805652789 0.605191805652789 0.607851411622764 0.607851411622764
28 0.926995242424779 0.926995242424779 0.927156330885892 0.927156330885892 0.927156330885892 0.915836798648996 0.915836798648996 0.915836798648996 0.915836798648996 0.915836798648996 0.915836798648996 0.915836798648996 0.915813689523684
29 0.713156355135201 0.713156355135201 0.715123012693626 0.757712046998948 0.757712046998948 0.800023387020774 0.799390815071695 0.75755309439005 0.75755309439005 0.75755309439005 0.75755309439005 0.757999797900716 0.757999797900716
30 0.931478977100697 0.931478977100697 0.931478977100697 0.931478977100697 0.931478977100697 0.931478977100697 0.931478977100697 0.916208436271741 0.916208436271741 0.916208436271741 0.916208436271741 0.916208436271741 0.916208436271741
31 0.857621672164834 0.857621672164834 0.874334580054484 0.874334580054484 0.874334580054484 0.866354546860782 0.866354546860782 0.874898298730644 0.874898298730644 0.874898298730644 0.874898298730644 0.874911874285894 0.866354546860782
32 0.661569945272165 0.661569945272165 0.661751648355719 0.661751648355719 0.661751648355719 0.661626254323765 0.661626254323765 0.589789940281736 0.589789940281736 0.589789940281736 0.589789940281736 0.589688040101571 0.589688040101571
33 0.654500704694919 0.654500704694919 0.746009574725063 0.746116952131975 0.746116952131975 0.565916825845114 0.565052119551412 0.566412668869088 0.566412668869088 0.566412668869088 0.566412668869088 0.567739401362071 0.567739401362071
34 0.529452577593748 0.529452577593748 0.529452577593748 0.528929021889765 0.528929021889765 0.556731743697295 0.556620121296611 0.556989557044758 0.556989557044758 0.556989557044758 0.556989557044758 0.556989557044758 0.556989557044758
35 0.880059951439822 0.879922081989252 0.90523448364165 0.90523448364165 0.90523448364165 0.90550781209265 0.90550781209265 0.897012802123439 0.897012802123439 0.897012802123439 0.897012802123439 0.897012802123439 0.90550781209265
36 0.863817684140475 0.863817684140475 0.880388828609944 0.880388828609944 0.880388828609944 0.880538545955792 0.880538545955792 0.880853027032775 0.880853027032775 0.880853027032775 0.880853027032775 0.880853027032775 0.880538545955792
37 0.605086760406549 0.605086760406549 0.575318961709357 0.574808171689926 0.574808171689926 0.577649467248898 0.57718342146987 0.577705708198849 0.577705708198849 0.577705708198849 0.577705708198849 0.577705708198849 0.577705708198849
38 0.659235449898667 0.659235449898667 0.659495319877429 0.659450455780311 0.659450455780311 0.659036045390395 0.693099174035656 0.624713359500054 0.624713359500054 0.624713359500054 0.624713359500054 0.625226166116911 0.625226166116911
39 0.878359325271229 0.878359325271229 0.903726643121607 0.903726643121607 0.903726643121607 0.903872892659587 0.903872892659587 0.912741525481233 0.912741525481233 0.912741525481233 0.912741525481233 0.912741525481233 0.903872892659587
40 0.830274242602283 0.830274242602283 0.830274242602283 0.830274242602283 0.830274242602283 0.821693707886108 0.821693707886108 0.821693707886108 0.821693707886108 0.821693707886108 0.821693707886108 0.821693707886108 0.821693707886108
41 0.832778829746289 0.832778829746289 0.835209791776672 0.835209791776672 0.835209791776672 0.835209791776672 0.835009775921348 0.868616280229259 0.868616280229259 0.868616280229259 0.868616280229259 0.86868285788045 0.86868285788045
42 0.875088622045725 0.875088622045725 0.859427293375498 0.859427293375498 0.859427293375498 0.859523832107472 0.859523832107472 0.843006259365185 0.843006259365185 0.843006259365185 0.843006259365185 0.842804482319589 0.842804482319589
