"cid","clust"
"CID_6839",4
"CID_6989",3
"CID_70846",5
"CID_7175",3
"CID_71771",5
"CID_72894",11
"CID_736186",3
"CID_8569",3
"CID_8842",18
"CID_8955",6
"CID_904",5
"CID_9047",11
"CID_91610",2
"CID_942",4
"CID_16258",5
"CID_4121",4
"CID_54746",4
"CID_5656",6
"CID_5734",11
"CID_7436",3
"CID_10133",13
"CID_10140",13
"CID_10393",3
"CID_10621",16
"CID_114811",1
"CID_12560",6
"CID_134601",5
"CID_135398742",16
"CID_135511839",5
"CID_151075",5
"CID_151166",1
"CID_15459",16
"CID_1548943",3
"CID_1732",3
"CID_18343",16
"CID_2005",7
"CID_21700",6
"CID_21704",16
"CID_2541",5
"CID_2581",5
"CID_2717",4
"CID_27200",1
"CID_2733526",5
"CID_28417",6
"CID_3000226",6
"CID_31553",16
"CID_3515",3
"CID_36462",16
"CID_439268",13
"CID_439280",3
"CID_440936",13
"CID_441074",2
"CID_441140",6
"CID_441336",6
"CID_441383",2
"CID_442435",16
"CID_443604",6
"CID_443879",3
"CID_443943",6
"CID_444020",13
"CID_446596",7
"CID_451668",16
"CID_47965",3
"CID_51040",1
"CID_5280793",6
"CID_5281565",4
"CID_5281613",16
"CID_5281767",3
"CID_5284513",3
"CID_5311047",2
"CID_5353831",10
"CID_5362065",16
"CID_5362129",5
"CID_5447130",3
"CID_54690031",1
"CID_5541",7
"CID_5755",6
"CID_5833",6
"CID_5905",16
"CID_6036",13
"CID_60606",4
"CID_60953",16
"CID_6230",6
"CID_6251",13
"CID_6526396",16
"CID_656516",13
"CID_65784",7
"CID_68617",4
"CID_6883",15
"CID_68844",2
"CID_6915944",16
"CID_72139",3
"CID_72281",16
"CID_86472",18
"CID_89594",4
"CID_9415",6
"CID_9782",6
"CID_9880",6
"CID_1110",7
"CID_119570",15
"CID_123606",4
"CID_123619",11
"CID_123879",4
"CID_124886",7
"CID_12597",13
"CID_131204",13
"CID_134669",7
"CID_14520",7
"CID_145815",7
"CID_148192",5
"CID_157355",13
"CID_16976",5
"CID_17513",16
"CID_18087",10
"CID_1935",11
"CID_1990",9
"CID_2075",3
"CID_2083",3
"CID_21102",1
"CID_2130",15
"CID_2230",2
"CID_2369",2
"CID_2447",9
"CID_2477",4
"CID_2520",1
"CID_2682",7
"CID_2803",11
"CID_3001055",1
"CID_3058754",11
"CID_3090",10
"CID_3341",4
"CID_3362",3
"CID_34040",2
"CID_3418",5
"CID_3562",19
"CID_36324",3
"CID_3658",5
"CID_3724",13
"CID_3741",13
"CID_3775",5
"CID_3779",3
"CID_37907",1
"CID_38103",2
"CID_3822",4
"CID_3827",4
"CID_39186",4
"CID_4006",3
"CID_4032",15
"CID_4054",15
"CID_4075",3
"CID_4117",5
"CID_4168",1
"CID_444025",6
"CID_448812",4
"CID_4581",3
"CID_4768",5
"CID_47866",15
"CID_4848",4
"CID_4850",2
"CID_4888",5
"CID_4992",5
"CID_5161",3
"CID_5281",7
"CID_5282182",7
"CID_5282443",5
"CID_5284587",6
