"Assay" "nef_1" "nef_2" "nef_3" "nef_4" "nef_5" "nef_6" "nef_7" "nef_8" "nef_9" "nef_10" "nef_11" "nef_12" "nef_13" "nef_14"
21 NA 0.621884498480243 0.610068389057751 0.610068389057751 0.598252279635258 0.680965045592705 0.645516717325228 0.645516717325228 0.645516717325228 0.633700607902736 0.633700607902736 0.633700607902736 0.621884498480243 0.621884498480243
22 NA 0.777857142857143 0.777857142857143 0.777857142857143 0.777857142857143 0.777857142857143 0.777857142857143 0.777857142857143 0.777857142857143 0.777857142857143 0.777857142857143 0.777857142857143 0.777857142857143 0.777857142857143
23 NA 0.487362637362637 0.487362637362637 0.487362637362637 0.501602564102564 0.487362637362637 0.487362637362637 0.487362637362637 0.487362637362637 0.487362637362637 0.487362637362637 0.487362637362637 0.473122710622711 0.473122710622711
24 NA 0.656985294117647 0.656985294117647 0.656985294117647 0.656985294117647 0.836659663865546 0.885661764705882 0.885661764705882 0.885661764705882 0.885661764705882 0.885661764705882 0.885661764705882 0.885661764705882 0.885661764705882
25 NA 0.666785714285714 0.555714285714286 0.555714285714286 0.555714285714286 0.666785714285714 0.555714285714286 0.555714285714286 0.555714285714286 0.555714285714286 0.555714285714286 0.555714285714286 0.666785714285714 0.666785714285714
26 NA NA 0.861160714285714 0.861160714285714 0.869327731092437 0.844826680672269 0.852993697478992 0.852993697478992 0.852993697478992 0.852993697478992 0.852993697478992 0.852993697478992 0.852993697478992 0.852993697478992
27 NA 0.861160714285714 0.861160714285714 0.861160714285714 0.861160714285714 0.861160714285714 0.861160714285714 0.861160714285714 0.861160714285714 0.861160714285714 0.861160714285714 0.861160714285714 0.861160714285714 0.722321428571429
28 0.977332361516035 0.977332361516035 0.977332361516035 0.977332361516035 0.977332361516035 0.977332361516035 0.977332361516035 0.977332361516035 0.977332361516035 0.977332361516035 0.977332361516035 0.977332361516035 0.977332361516035 0.977332361516035
29 NA NA 0.829120879120879 0.829120879120879 0.829120879120879 0.829120879120879 0.786401098901099 0.786401098901099 0.786401098901099 0.829120879120879 0.829120879120879 0.829120879120879 0.829120879120879 0.786401098901099
30 0.969980694980695 0.984990347490348 0.984990347490348 0.984990347490348 0.984990347490348 0.984990347490348 0.984990347490348 0.984990347490348 0.984990347490348 0.984990347490348 0.984990347490348 0.984990347490348 0.984990347490348 0.984990347490348
