"Assay" "rocauc_2" "rocauc_3" "rocauc_4" "rocauc_5" "rocauc_6" "rocauc_7" "rocauc_8" "rocauc_9" "rocauc_10" "rocauc_11" "rocauc_12" "rocauc_13" "rocauc_14" "rocauc_15"
53 0.577743902439024 0.577743902439024 0.577743902439024 0.581707317073171 0.585975609756098 0.585975609756098 0.590243902439024 0.577743902439024 0.579573170731707 0.583841463414634 0.583841463414634 0.583841463414634 0.583841463414634 0.583841463414634
54 NA 0.764139941690962 0.764139941690962 0.764407191448008 0.777696793002915 0.777696793002915 0.809742468415938 0.811273080660836 0.810592808551992 0.823153547133139 0.823153547133139 0.823153547133139 0.812050534499514 0.812050534499514
55 0.959529431258026 0.959529431258026 0.959529431258026 0.963008988857131 0.965494387142206 0.965494387142206 0.958866658382006 0.954765751211632 0.954765751211632 0.954807174516383 0.954807174516383 0.954807174516383 0.971625036245392 0.971625036245392
56 0.795772741812455 0.805196722521591 0.805196722521591 0.80790334883492 0.817007455525209 0.817007455525209 0.8352648802933 0.836790433306267 0.841219458182623 0.838611254644325 0.838611254644325 0.838611254644325 0.840505893063655 0.840505893063655
57 NA NA NA 0.977411944869832 0.977411944869832 0.977411944869832 0.977411944869832 0.977411944869832 0.962863705972435 0.962863705972435 0.962863705972435 0.962863705972435 0.961332312404288 0.961332312404288
58 0.652747252747253 0.652747252747253 0.652747252747253 0.652747252747253 0.661773940345369 0.661773940345369 0.661773940345369 0.661773940345369 0.661773940345369 0.650863422291994 0.650863422291994 0.650863422291994 0.641444270015699 0.641444270015699
59 NA NA NA 0.8144750254842 0.827217125382263 0.827217125382263 0.836901121304791 0.848623853211009 0.848623853211009 0.848623853211009 0.848623853211009 0.848623853211009 0.848623853211009 0.848623853211009
60 NA 0.850425806451613 0.850425806451613 0.851045161290323 0.860541935483871 0.860541935483871 0.869935483870968 0.833135483870968 0.828748387096774 0.847122580645161 0.847122580645161 0.847122580645161 0.847122580645161 0.847122580645161
61 0.933026258279259 0.933026258279259 0.935110782368961 0.935110782368961 0.937430655952661 0.937430655952661 0.937430655952661 0.939347073260935 0.936959956964664 0.937161685102377 0.937161685102377 0.937161685102377 0.931916753521837 0.9357159667821
62 NA NA NA 0.822515212981744 0.831735201917758 0.839756592292089 0.825189009773188 0.830352203577356 0.820210215747741 0.802231237322515 0.802231237322515 0.802231237322515 0.789507652590817 0.789507652590817
63 0.961808624459227 0.961808624459227 0.96380890356794 0.965809182676653 0.967832720844769 0.967832720844769 0.96406475322138 0.963948457924362 0.963855421686747 0.963948457924362 0.963948457924362 0.963948457924362 0.963948457924362 0.963832162627343
64 0.931572173105733 0.931572173105733 0.930749266769354 0.929863059945562 0.933239085940962 0.933239085940962 0.933239085940962 0.930770366931825 0.934842698288777 0.935918806574811 0.935918806574811 0.935918806574811 0.935623404300213 0.935581203975271
65 NA 0.909351244402791 0.909351244402791 0.913516609392898 0.915833593668645 0.915833593668645 0.921639071123607 0.921639071123607 0.92445069249193 0.926689576174112 0.926689576174112 0.926689576174112 0.927158179735499 0.927158179735499
66 0.715450310559006 0.715450310559006 0.715450310559006 0.720496894409938 0.727484472049689 0.727484472049689 0.735248447204969 0.740683229813665 0.740683229813665 0.742624223602484 0.742624223602484 0.742624223602484 0.742624223602484 0.742624223602484
67 0.87097957686193 0.87097957686193 0.87097957686193 0.87660511189923 0.884798825975297 0.884798825975297 0.884798825975297 0.862418980066039 0.850189556071909 0.861807508866332 0.861807508866332 0.861807508866332 0.847009905833435 0.847009905833435
68 NA 0.930670926517572 0.930670926517572 0.924920127795527 0.925452609158679 0.925452609158679 0.925452609158679 0.925452609158679 0.936954206602769 0.936954206602769 0.936954206602769 0.936954206602769 0.940042598509052 0.940042598509052
69 0.857554801670146 0.826918058455115 0.826918058455115 0.82741388308977 0.841140396659708 0.841140396659708 0.848368997912317 0.848368997912317 0.847755741127349 0.86580114822547 0.86580114822547 0.86580114822547 0.896281315240083 0.896281315240083
70 0.871198066003261 0.871198066003261 0.871198066003261 0.870954442383014 0.882460973370064 0.882460973370064 0.882460973370064 0.928824422330916 0.931822866887802 0.932984764153595 0.932984764153595 0.932984764153595 0.920466258128596 0.920466258128596
71 0.990580847723705 0.990580847723705 0.990580847723705 0.990580847723705 0.990580847723705 0.990580847723705 0.990580847723705 0.990580847723705 0.990580847723705 0.990580847723705 0.990580847723705 0.990580847723705 0.990580847723705 0.990580847723705
72 0.941527272727273 0.941527272727273 0.941527272727273 0.955636363636364 0.958545454545455 0.958545454545455 0.961745454545455 0.961745454545455 0.962181818181818 0.963490909090909 0.963490909090909 0.963490909090909 0.954327272727273 0.954327272727273
73 0.958680855143323 0.958680855143323 0.958856613300099 0.959943118269261 0.963426325376282 0.963426325376282 0.959367909756175 0.959367909756175 0.959815294155242 0.958600965072061 0.958600965072061 0.958600965072061 0.960949733167162 0.960678106924871
74 0.887867857551815 0.887867857551815 0.888282949730906 0.88905587999542 0.893779342723005 0.893779342723005 0.893779342723005 0.894938738119776 0.894995992213443 0.89501030573686 0.89501030573686 0.89501030573686 0.89501030573686 0.894981678690026
