"ids" "nef_1" "nef_2" "nef_3" "nef_4" "nef_5" "nef_6" "nef_7" "nef_8" "nef_9" "nef_10" "nef_11" "nef_12" "nef_13" "nef_14" "nef_15" "nef_16" "nef_17" "nef_18" "nef_19" "nef_20" "nef_30" "nef_40" "nef_50" "nef_60" "nef_70" "nef_80" "nef_90" "nef_100" "nef_110" "nef_120" "nef_130" "nef_140" "nef_150" "nef_160" "nef_170" "nef_180" "nef_190" "nef_200"
31 0.629579375848033 0.629579375848033 0.444369063772049 0.444369063772049 0.444369063772049 0.444369063772049 0.444369063772049 0.444369063772049 0.444369063772049 0.444369063772049 0.444369063772049 0.444369063772049 0.444369063772049 0.444369063772049 0.444369063772049 0.444369063772049 0.444369063772049 0.444369063772049 0.444369063772049 0.444369063772049 0.629579375848033 0.444369063772049 0.444369063772049 0.444369063772049 0.629579375848033 0.814789687924016 0.814789687924016 0.814789687924016 0.814789687924016 0.814789687924016 0.629579375848033 0.629579375848033 0.629579375848033 0.629579375848033 0.629579375848033 0.629579375848033 0.814789687924016 0.814789687924016
32 0.629943502824859 0.583686440677966 0.629943502824859 0.676200564971751 0.768714689265537 0.629943502824859 0.629943502824859 0.629943502824859 0.629943502824859 0.676200564971751 0.676200564971751 0.676200564971751 0.676200564971751 0.861228813559322 0.907485875706215 0.907485875706215 0.907485875706215 0.907485875706215 0.907485875706215 0.907485875706215 0.953742937853107 0.953742937853107 0.953742937853107 0.953742937853107 1 1 1 1 1 1 1 1 1 1 1 1 1 1
33 0.622222222222222 0.6 0.6 0.622222222222222 0.622222222222222 0.622222222222222 0.644444444444444 0.644444444444444 0.644444444444444 0.644444444444444 0.622222222222222 0.6 0.6 0.6 0.644444444444444 0.644444444444444 0.644444444444444 0.644444444444444 0.688888888888889 0.688888888888889 0.688888888888889 0.688888888888889 0.711111111111111 0.711111111111111 0.733333333333333 0.733333333333333 0.733333333333333 0.733333333333333 0.733333333333333 0.733333333333333 0.733333333333333 0.733333333333333 0.733333333333333 0.755555555555556 0.755555555555556 0.755555555555556 0.755555555555556 0.755555555555556
34 0.722150259067358 0.722150259067358 0.722150259067358 0.722150259067358 0.722150259067358 0.814766839378238 0.814766839378238 0.814766839378238 0.814766839378238 0.814766839378238 0.814766839378238 0.814766839378238 0.814766839378238 0.814766839378238 0.814766839378238 0.814766839378238 0.814766839378238 0.814766839378238 0.814766839378238 0.814766839378238 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
35 0.70363196125908 0.796246973365617 0.759200968523002 0.759200968523002 0.759200968523002 0.814769975786925 0.814769975786925 0.814769975786925 0.814769975786925 0.814769975786925 0.814769975786925 0.814769975786925 0.833292978208232 0.814769975786925 0.814769975786925 0.833292978208232 0.833292978208232 0.833292978208232 0.833292978208232 0.833292978208232 0.814769975786925 0.796246973365617 0.833292978208232 0.814769975786925 0.833292978208232 0.796246973365617 0.833292978208232 0.870338983050847 0.870338983050847 0.796246973365617 0.77772397094431 0.814769975786925 0.833292978208232 0.833292978208232 0.833292978208232 0.833292978208232 0.85181598062954 0.85181598062954
36 0.444444444444444 0.444444444444444 0.444444444444444 0.444444444444444 0.444444444444444 0.444444444444444 0.444444444444444 0.444444444444444 0.444444444444444 0.444444444444444 0.444444444444444 0.444444444444444 0.444444444444444 0.444444444444444 0.444444444444444 0.444444444444444 0.444444444444444 0.444444444444444 0.444444444444444 0.444444444444444 0.444444444444444 0.444444444444444 0.444444444444444 0.444444444444444 0.444444444444444 0.444444444444444 0.444444444444444 0.444444444444444 0.444444444444444 0.444444444444444 0.444444444444444 0.444444444444444 0.444444444444444 0.444444444444444 0.444444444444444 0.444444444444444 0.444444444444444 0.444444444444444
37 0.888903924221922 0.888903924221922 0.777807848443843 0.777807848443843 0.888903924221922 0.666711772665765 0.666711772665765 0.666711772665765 0.666711772665765 0.666711772665765 0.666711772665765 0.555615696887686 0.555615696887686 0.555615696887686 0.555615696887686 0.555615696887686 0.555615696887686 0.555615696887686 0.666711772665765 0.555615696887686 0.555615696887686 0.888903924221922 0.888903924221922 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
38 0.722451790633609 0.722451790633609 0.722451790633609 0.722451790633609 0.722451790633609 0.722451790633609 0.722451790633609 0.722451790633609 0.722451790633609 0.722451790633609 0.722451790633609 0.722451790633609 0.722451790633609 0.722451790633609 0.722451790633609 0.722451790633609 0.722451790633609 0.722451790633609 0.722451790633609 0.722451790633609 0.722451790633609 0.722451790633609 0.722451790633609 0.722451790633609 0.722451790633609 0.722451790633609 0.722451790633609 0.722451790633609 0.722451790633609 0.722451790633609 0.722451790633609 0.722451790633609 0.722451790633609 0.722451790633609 0.722451790633609 0.722451790633609 0.722451790633609 0.722451790633609
39 0.8610853432282 0.8610853432282 0.8610853432282 0.8610853432282 0.8610853432282 0.8610853432282 0.8610853432282 0.8610853432282 0.8610853432282 0.722170686456401 0.722170686456401 0.722170686456401 0.8610853432282 0.8610853432282 0.8610853432282 0.8610853432282 0.8610853432282 0.8610853432282 0.8610853432282 0.8610853432282 0.8610853432282 0.8610853432282 0.8610853432282 0.8610853432282 0.8610853432282 0.8610853432282 0.8610853432282 0.8610853432282 0.8610853432282 0.8610853432282 0.8610853432282 0.8610853432282 0.8610853432282 0.8610853432282 0.8610853432282 0.8610853432282 0.8610853432282 1
40 0.888848920863309 0.888848920863309 0.888848920863309 0.888848920863309 0.888848920863309 0.888848920863309 0.888848920863309 0.888848920863309 0.888848920863309 0.888848920863309 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
