"ids" "roc_1" "roc_2" "roc_3" "roc_4" "roc_5" "roc_6" "roc_7" "roc_8" "roc_9" "roc_10" "roc_11" "roc_12" "roc_13" "roc_14" "roc_15" "roc_16" "roc_17" "roc_18" "roc_19" "roc_20" "roc_30" "roc_40" "roc_50" "roc_60" "roc_70" "roc_80" "roc_90" "roc_100" "roc_110" "roc_120" "roc_130" "roc_140" "roc_150" "roc_160" "roc_170" "roc_180" "roc_190" "roc_200"
11 0.856010016694491 0.890929326655537 0.917918753478019 0.920979410127991 0.925709515859766 0.926265998887034 0.929883138564274 0.931274346132443 0.945603784084585 0.952559821925431 0.954368391764051 0.955203116304953 0.960211463550362 0.960489705063996 0.960767946577629 0.961324429604897 0.962298274902615 0.962298274902615 0.9629938786867 0.952281580411797 0.979271007234279 0.980801335559265 0.983166388425153 0.978992765720646 0.980105731775181 0.980244852531998 0.980940456316082 0.980244852531998 0.980523094045632 0.980940456316082 0.982053422370618 0.982470784641068 0.984279354479688 0.985253199777407 0.987061769616027 0.990400667779633 0.990400667779633 0.99053978853645
12 0.820393047232665 0.816466296944207 0.815163583578367 0.812446495701046 0.862749841813377 0.88716641232739 0.931067852756169 0.960211411769085 0.973089663899952 0.973499088100644 0.975508988722224 0.975825361968214 0.977109465143112 0.978635500800238 0.978728551754941 0.978970484237168 0.977742211635091 0.978672721182119 0.978951874046228 0.976383667696431 0.976513939033014 0.977444448580042 0.979249637101277 0.980496519894294 0.982171437078944 0.985511966352775 0.986312204563219 0.98733576506495 0.988470986712324 0.989224699445416 0.99001563256039 0.990397141474672 0.991113633825883 0.992835076487885 0.993560873934567 0.993923772657907 0.994714705772881 0.995133435069044
13 0.772967635066259 0.771438583078491 0.780517329255861 0.781027013251784 0.779466106014271 0.779720948012232 0.779529816513762 0.779179408766565 0.773254332313965 0.773349898063201 0.773668450560652 0.773254332313965 0.794183231396534 0.76414373088685 0.764430428134557 0.764462283384302 0.765290519877676 0.765927624872579 0.766373598369011 0.767392966360856 0.769559123343527 0.774241845056065 0.78032619775739 0.89420871559633 0.894813965341488 0.898349898063201 0.886882008154944 0.880638379204893 0.879109327217125 0.897553516819572 0.88407874617737 0.886595310907238 0.895610346585117 0.88914373088685 0.899592252803262 0.89809505606524 0.904561671763507 0.916794087665647
14 0.843786464410735 0.857934655775963 0.803383897316219 0.807759626604434 0.80950991831972 0.730163360560093 0.733372228704784 0.733226371061844 0.758751458576429 0.761085180863477 0.736726954492415 0.735560093348891 0.75291715285881 0.752479579929988 0.74401983663944 0.718348891481914 0.718348891481914 0.638564760793466 0.625437572928822 0.625 0.65169194865811 0.659714119019837 0.792298716452742 0.81549008168028 0.797112018669778 0.793757292882147 0.797841306884481 0.891190198366394 0.888856476079347 0.897024504084014 0.908547257876313 0.90183780630105 0.903150525087515 0.903296382730455 0.97316219369895 0.973453908984831 0.973599766627771 0.974329054842474
15 0.707814833250373 0.70059731209557 0.664260826281732 0.708810353409656 0.715530114484818 0.718267794922847 0.71304131408661 0.701343952215032 0.702837232453957 0.701095072175211 0.754106520657043 0.762070681931309 0.719512195121951 0.719761075161772 0.750871080139373 0.750373320059731 0.742409158785465 0.745395719263315 0.74987555998009 0.748133399701344 0.791438526630164 0.826281732205077 0.845196615231458 0.849427575908412 0.854654056744649 0.856893977103036 0.857142857142857 0.85813837730214 0.86112493777999 0.860876057740169 0.86411149825784 0.870084619213539 0.874066699850672 0.877551020408163 0.927824788451966 0.928073668491787 0.930313588850174 0.93205574912892
16 0.797736987679155 0.821775207442796 0.789288408348001 0.828715111893387 0.843550414885592 0.82504400301735 0.834096052300729 0.845511692230324 0.878903696253457 0.874629117425195 0.868091526276087 0.818305255217501 0.819864219260749 0.813376917274327 0.816746291174252 0.819361327633895 0.812924314810158 0.805280362081971 0.816997736987679 0.896655770681418 0.898717626351521 0.914860447573548 0.939502137289414 0.94307266784008 0.928941413125471 0.950867488056324 0.97088257480513 0.974603972843852 0.972894141312547 0.981443298969072 0.982298214734725 0.984058335428715 0.984259492079457 0.985818456122706 0.987729444304752 0.988031179280865 0.988282625094292 0.988735227558461
17 0.700989486703772 0.720779220779221 0.739022881880025 0.750309214594929 0.778293135435993 0.77891156462585 0.776437847866419 0.777365491651206 0.781385281385281 0.782312925170068 0.779220779220779 0.779839208410637 0.780148423005566 0.781539888682746 0.782312925170068 0.776747062461348 0.779993815708101 0.79143475572047 0.793908472479901 0.797928262213977 0.768089053803339 0.749072356215213 0.76252319109462 0.757884972170687 0.767006802721088 0.778756957328386 0.784013605442177 0.791125541125541 0.799165120593692 0.801638837353123 0.808750773036487 0.804576376004947 0.808286951144094 0.865337043908472 0.872758194186766 0.877705627705628 0.876932591218305 0.882343846629561
18 0.805794534412955 0.820597165991903 0.851341093117409 0.843623481781377 0.861968623481781 0.859058704453441 0.85754048582996 0.8582995951417 0.861589068825911 0.861082995951417 0.865005060728745 0.866396761133603 0.86918016194332 0.869306680161943 0.868294534412955 0.869812753036437 0.871837044534413 0.877150809716599 0.87537955465587 0.878542510121458 0.911184210526316 0.907135627530364 0.907388663967611 0.876644736842105 0.891067813765182 0.906503036437247 0.912702429149798 0.919913967611336 0.923076923076923 0.926113360323887 0.927631578947368 0.939397773279352 0.941675101214575 0.943193319838057 0.945723684210526 0.947241902834008 0.948001012145749 0.950278340080972
19 0.762090798868382 0.749696888050653 0.777448470968611 0.793075575912704 0.817728681126229 0.697965782028829 0.605685033005523 0.621851003637343 0.6407113027078 0.650815034352688 0.64219318334905 0.646099959585073 0.598814495487 0.566347837801428 0.575104405226997 0.585747002559612 0.588845480264044 0.597197898423818 0.595985450626431 0.595042435672909 0.744847096861107 0.925097669405901 0.926848982891014 0.935874983160447 0.950289640307153 0.951232655260676 0.953792267277381 0.956082446450222 0.957160177825677 0.958507342044995 0.958776774888859 0.959854506264314 0.9610669540617 0.961605819749427 0.962414118281019 0.963491849656473 0.964165431766132 0.965243163141587
20 0.883597883597884 0.88001628001628 0.874399674399674 0.867399267399267 0.870899470899471 0.877167277167277 0.877492877492878 0.885470085470085 0.887912087912088 0.88962148962149 0.884900284900285 0.887423687423687 0.884004884004884 0.887423687423687 0.888970288970289 0.884574684574685 0.883353683353683 0.883679283679284 0.902645502645503 0.900691900691901 0.947741147741148 0.948962148962149 0.897110297110297 0.934065934065934 0.939112739112739 0.921693121693122 0.926577126577127 0.927146927146927 0.933333333333333 0.933658933658934 0.934472934472934 0.935531135531136 0.936100936100936 0.958974358974359 0.959299959299959 0.961334961334961 0.961334961334961 0.961823361823362
