"cid","clust"
"CID_9880",6
"CID_10041070",6
"CID_10230",2
"CID_104850",5
"CID_104865",2
"CID_1110",16
"CID_11219835",3
"CID_11296583",4
"CID_11914",3
"CID_119570",4
"CID_123606",11
"CID_123619",1
"CID_123879",4
"CID_124886",16
"CID_12597",19
"CID_131204",8
"CID_134018",3
"CID_134669",16
"CID_135409453",3
"CID_14052",8
"CID_14520",7
"CID_145815",16
"CID_148192",3
"CID_151194",5
"CID_153994",3
"CID_1549008",3
"CID_156422",1
"CID_157355",8
"CID_16533",6
"CID_16976",3
"CID_170361",1
"CID_17513",4
"CID_176870",1
"CID_18087",3
"CID_185460",4
"CID_189821",6
"CID_192197",3
"CID_1935",5
"CID_19861",5
"CID_1990",16
"CID_19988",3
"CID_20055424",2
"CID_2075",2
"CID_2083",3
"CID_208898",3
"CID_21102",3
"CID_2119",3
"CID_2130",12
"CID_2157",3
"CID_216237",5
"CID_219024",4
"CID_2230",4
"CID_2351",3
"CID_2369",4
"CID_2447",16
"CID_2477",5
"CID_2484",3
"CID_2520",3
"CID_25295",5
"CID_2682",10
"CID_27400",5
"CID_2801",5
"CID_2803",5
"CID_2898",3
"CID_2913",5
"CID_3001055",3
"CID_3003141",5
"CID_3033968",6
"CID_3042",14
"CID_3052762",5
"CID_3055",5
"CID_3058754",2
"CID_3090",2
"CID_31072",3
"CID_3191",4
"CID_3291",6
"CID_3336",3
"CID_3341",5
"CID_3352",11
"CID_3362",3
"CID_3386",3
"CID_34040",4
"CID_3418",3
"CID_3562",20
"CID_36324",3
"CID_3658",5
"CID_3689",4
"CID_3696",5
"CID_3724",8
"CID_3741",8
"CID_3775",3
"CID_3779",3
"CID_37907",5
"CID_38103",4
"CID_3822",4
"CID_3827",5
"CID_39186",4
"CID_39214",2
"CID_3955",5
"CID_4006",3
"CID_4008",4
"CID_4032",15
"CID_4054",12
"CID_4075",2
"CID_4117",3
"CID_4168",3
"CID_4184",5
"CID_43815",4
"CID_444025",6
"CID_444254",6
"CID_44564",3
"CID_4474",4
"CID_448812",4
"CID_4567",3
"CID_4581",3
"CID_4659569",3
"CID_4768",3
"CID_47866",1
"CID_4823",4
"CID_4848",5
"CID_4850",5
"CID_4888",3
"CID_4893",1
"CID_4908",2
"CID_4927",3
"CID_4932",3
"CID_4992",3
"CID_5160",3
"CID_5161",3
"CID_51755",5
"CID_5281",16
"CID_5281081",3
"CID_5281881",5
"CID_5282164",6
"CID_5282182",17
"CID_5282219",3
"CID_5282375",3
"CID_5282433",3
"CID_5282443",5
"CID_5284587",6
"CID_5284596",6
"CID_5288783",6
